"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",19.654707,97.2447,98.0392,-10,0.0092681935,NA,0.82385712318041,2.56591601180921,-0.0965348838065445,"Study1_G1_T2_TurnTaking.csv"
"2","2",19.656376,97.2447,98.0392,-10,0.032647705,NA,0.856016395072653,2.56591601180921,-0.0965348838065445,"Study1_G1_T2_TurnTaking.csv"
"3","3",19.658043,97.2447,98.0392,-10,0.056878668,NA,0.889346865956438,2.56591601180921,-0.0965348838065445,"Study1_G1_T2_TurnTaking.csv"
"4","4",19.659708,97.2447,100.513092,-10,0.0368652372,NA,0.861817746599356,2.56591601180921,0.214941271463386,"Study1_G1_T2_TurnTaking.csv"
"5","5",19.661376,97.2447,100.671,-10,-0.07399293489,NA,0.709328756497088,2.56591601180921,0.234822728182744,"Study1_G1_T2_TurnTaking.csv"
"6","6",19.663042,97.2447,100.671,-10,-0.29169006,NA,0.409879341714744,2.56591601180921,0.234822728182744,"Study1_G1_T2_TurnTaking.csv"
"7","7",19.664708,97.2447,100.671,-10,-0.53908694,NA,0.0695769564740361,2.56591601180921,0.234822728182744,"Study1_G1_T2_TurnTaking.csv"
"8","8",19.666374,97.651578,100.671,-10,-0.7571106,NA,-0.230321617577945,2.6543245901,0.234822728182744,"Study1_G1_T2_TurnTaking.csv"
"9","9",19.66804,98.4414,100.73085,-10,-0.8657257,NA,-0.379725189697197,2.82594124207623,0.242358161375827,"Study1_G1_T2_TurnTaking.csv"
"10","10",19.669708,98.4414,101.868,-10,-0.80173036,NA,-0.29169753612982,2.82594124207623,0.385531392044425,"Study1_G1_T2_TurnTaking.csv"
"11","11",19.671375,98.4414,101.868,-10,-0.49708251,NA,0.127355404285004,2.82594124207623,0.385531392044425,"Study1_G1_T2_TurnTaking.csv"
"12","12",19.673041,98.4414,101.868,-10,-0.04165341944,NA,0.753812802719351,2.82594124207623,0.385531392044425,"Study1_G1_T2_TurnTaking.csv"
"13","13",19.674708,98.4414,101.868,-10,0.3159546,NA,1.24571416379002,2.82594124207623,0.385531392044425,"Study1_G1_T2_TurnTaking.csv"
"14","14",19.676377,98.4414,101.868,-10,0.5220184,NA,1.52916156479105,2.82594124207623,0.385531392044425,"Study1_G1_T2_TurnTaking.csv"
"15","15",19.678042,98.4414,101.868,-10,0.58685004,NA,1.6183395759732,2.82594124207623,0.385531392044425,"Study1_G1_T2_TurnTaking.csv"
"16","16",19.679708,98.4414,98.198396,-10,0.55989988,NA,1.58126876194103,2.82594124207623,-0.0764912610395222,"Study1_G1_T2_TurnTaking.csv"
"17","17",19.681376,98.4414,97.8793,-10,0.48180237,NA,1.47384311884334,2.82594124207623,-0.116667143916387,"Study1_G1_T2_TurnTaking.csv"
"18","18",19.683041,97.874552,97.8793,-10,0.3508881,NA,1.29376631939848,2.70277354614041,-0.116667143916387,"Study1_G1_T2_TurnTaking.csv"
"19","19",19.684707,96.7742,97.8793,-10,0.171853618,NA,1.0474986168109,2.46368331285323,-0.116667143916387,"Study1_G1_T2_TurnTaking.csv"
