"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",15.449792,70.305756,63.8978,6.2629487,2.849292,1.06250536789452,-0.353730821132418,-2.01583061424935,-0.134530257556406,"Study1_G4_T2_SelfPaced.csv"
"2","2",15.451458,75.7655,63.8978,6.3589567,2.9995938,1.1041869552737,-0.134154807888006,-1.45245985209677,-0.134530257556406,"Study1_G4_T2_SelfPaced.csv"
"3","3",15.453124,75.7655,63.8978,6.4334779,3.201718,1.13654011240021,0.16112858869285,-1.45245985209677,-0.134530257556406,"Study1_G4_T2_SelfPaced.csv"
"4","4",15.454793,75.7655,63.8978,6.490073,3.3897884,1.16111070657865,0.435880778229383,-1.45245985209677,-0.134530257556406,"Study1_G4_T2_SelfPaced.csv"
"5","5",15.45646,75.7655,63.8978,6.5237582,3.5900421,1.17573503587605,0.728431559946187,-1.45245985209677,-0.134530257556406,"Study1_G4_T2_SelfPaced.csv"
"6","6",15.458123,75.7655,65.656928,6.528031,3.7750638,1.1775900592757,0.998729901347979,-1.45245985209677,0.0971842429998752,"Study1_G4_T2_SelfPaced.csv"
"7","7",15.459792,75.7655,67.0391,6.511142,3.9387482,1.17025775020514,1.2378565650493,-1.45245985209677,0.279245636294094,"Study1_G4_T2_SelfPaced.csv"
"8","8",15.461458,75.7655,67.0391,6.49296,4.0668301,1.1623640890339,1.42497150958603,-1.45245985209677,0.279245636294094,"Study1_G4_T2_SelfPaced.csv"
"9","9",15.463126,75.7655,67.0391,6.4900148,4.1226091,1.16108543922191,1.50645909285356,-1.45245985209677,0.279245636294094,"Study1_G4_T2_SelfPaced.csv"
"10","10",15.464792,75.7655,67.0391,6.507733,4.1020111,1.16877774300391,1.47636745908199,-1.45245985209677,0.279245636294094,"Study1_G4_T2_SelfPaced.csv"
"11","11",15.466459,83.777153,67.0391,6.530707,4.0459688,1.17875183670911,1.3944952206454,-0.625767051717851,0.279245636294094,"Study1_G4_T2_SelfPaced.csv"
"12","12",15.468124,96.3082,67.0391,6.5409612,3.985409,1.18320366711182,1.30602336304371,0.667265277079948,0.279245636294094,"Study1_G4_T2_SelfPaced.csv"
"13","13",15.469792,96.3082,67.0391,6.5319529,3.9432677,1.179292740485,1.24445910601593,0.667265277079948,0.279245636294094,"Study1_G4_T2_SelfPaced.csv"
"14","14",15.471458,96.3082,67.0391,6.517791,3.9057588,1.17314439376072,1.18966232565014,0.667265277079948,0.279245636294094,"Study1_G4_T2_SelfPaced.csv"
"15","15",15.473126,96.3082,66.365098,6.5031126,3.8471496,1.16677181009908,1.10404010106305,0.667265277079948,0.190465265107953,"Study1_G4_T2_SelfPaced.csv"
"16","16",15.474792,96.3082,64.8649,6.4814851,3.7645477,1.15738229536027,0.98336692290807,0.667265277079948,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"17","17",15.476457,96.3082,64.8649,6.4690658,3.6857053,1.15199049323818,0.868186001145181,0.667265277079948,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"18","18",15.478124,96.3082,64.8649,6.4446538,3.6127566,1.14139209611397,0.761615190167783,0.667265277079948,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"19","19",15.479792,96.3082,64.8649,6.444486,3.5462705,1.14131924624352,0.664485596415949,0.667265277079948,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"20","20",15.481459,96.3082,64.8649,6.4509953,3.4964938,1.14414523946,0.591766777756005,0.667265277079948,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"21","21",15.483125,97.944172,64.8649,6.3795596,3.465534,1.1131316429728,0.546537582531168,0.836075168624365,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"22","22",15.484792,100.503,64.8649,6.2518188,3.4499882,1.05767335494381,0.523826711558931,1.10011115283486,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"23","23",15.486457,100.503,64.8649,6.2093407,3.4569181,1.03923161428833,0.533950607707762,1.10011115283486,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"24","24",15.488125,100.503,64.8649,6.2084074,3.472557,1.03882642487181,0.556797488540381,1.10011115283486,-0.00714265785474663,"Study1_G4_T2_SelfPaced.csv"
"25","25",15.489792,100.503,63.316248,6.2062465,3.4564818,1.03788827656992,0.53331321670793,1.10011115283486,-0.211133001204113,"Study1_G4_T2_SelfPaced.csv"
"26","26",15.49146,100.503,62.8272,6.1898226,3.4185518,1.03075788927973,0.477901251033796,1.10011115283486,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"27","27",15.493124,100.503,62.8272,6.1661373,3.3872769,1.0204749867971,0.432211725980751,1.10011115283486,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"28","28",15.494792,100.503,62.8272,6.1441119,3.3481476,1.01091272495787,0.375047702029976,1.10011115283486,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"29","29",15.496458,100.503,62.8272,6.1269779,3.2953615,1.00347404986668,0.297932448635001,1.10011115283486,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"30","30",15.498125,100.503,62.8272,6.1178671,3.2421109,0.999518623170004,0.220138606838875,1.10011115283486,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"31","31",15.499792,89.684595,62.8272,6.113157,3.2070891,0.997473747277217,0.168975232743268,-0.0161999910805451,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"32","32",15.50146,72.7635,62.8272,6.1105876,3.1950305,0.996358249916454,0.151358814887267,-1.7622251136149,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"33","33",15.503123,72.7635,62.8272,6.1043792,3.2034912,0.993662891539184,0.163719057913345,-1.7622251136149,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"34","34",15.504791,72.7635,62.8272,6.0976473,3.2187741,0.990740257195402,0.186045858076836,-1.7622251136149,-0.275551004367071,"Study1_G4_T2_SelfPaced.csv"
"35","35",15.506459,72.7635,60.781383,6.0975712,3.2331969,0.990707218606955,0.207116137500113,-1.7622251136149,-0.545028532087933,"Study1_G4_T2_SelfPaced.csv"
"36","36",15.508125,72.7635,60.3015,6.0993378,3.2465975,0.991474182737695,0.226693084170633,-1.7622251136149,-0.608239310195296,"Study1_G4_T2_SelfPaced.csv"
"37","37",15.509792,72.7635,60.3015,6.091287,3.2581575,0.987978951885346,0.243581096909705,-1.7622251136149,-0.608239310195296,"Study1_G4_T2_SelfPaced.csv"
"38","38",15.511458,72.7635,60.3015,6.066394,3.2564242,0.977171730043104,0.241048917629373,-1.7622251136149,-0.608239310195296,"Study1_G4_T2_SelfPaced.csv"
