"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",16.981342,84.4190754835485,99.5025,4.00511651636818,4.77568142740525,-0.0405160691446662,0.00276037031166242,0.245701245818898,-0.322992747525595,"Study2_G8_T2_Synchronous.csv"
"2","2",16.983009,84.4190754835485,99.5025,4.00511651636818,4.77568142740525,-0.0405160691446662,0.00276037031166242,0.245701245818898,-0.322992747525595,"Study2_G8_T2_Synchronous.csv"
"3","3",16.984676,84.4190754835485,99.5025,2.1383663,4.77568142740525,-2.77764057738708,0.00276037031166242,0.245701245818898,-0.322992747525595,"Study2_G8_T2_Synchronous.csv"
"4","4",16.98634,84.4190754835485,99.5025,2.4986477,4.77568142740525,-2.24937758796451,0.00276037031166242,0.245701245818898,-0.322992747525595,"Study2_G8_T2_Synchronous.csv"
"5","5",16.988008,84.4190754835485,99.5025,2.9603786,4.77568142740525,-1.5723641602861,0.00276037031166242,0.245701245818898,-0.322992747525595,"Study2_G8_T2_Synchronous.csv"
"6","6",16.989675,84.4190754835485,99.090774,3.4498443,4.77568142740525,-0.854684552341279,0.00276037031166242,0.245701245818898,-0.335009040086209,"Study2_G8_T2_Synchronous.csv"
"7","7",16.99134,84.4190754835485,98.5222,3.9173954,4.77568142740525,-0.169137250166335,0.00276037031166242,0.245701245818898,-0.351602967908009,"Study2_G8_T2_Synchronous.csv"
"8","8",16.993007,84.4190754835485,98.5222,4.2863555,4.77568142740525,0.371850892445665,0.00276037031166242,0.245701245818898,-0.351602967908009,"Study2_G8_T2_Synchronous.csv"
"9","9",16.994676,84.4190754835485,98.5222,4.5185942,4.77568142740525,0.712371135571211,0.00276037031166242,0.245701245818898,-0.351602967908009,"Study2_G8_T2_Synchronous.csv"
"10","10",16.996342,84.4190754835485,98.5222,4.6315552,3.9209018,0.87800032305678,-2.37343570969342,0.245701245818898,-0.351602967908009,"Study2_G8_T2_Synchronous.csv"
"11","11",16.998008,84.4190754835485,98.5222,4.6550299,4.2403628,0.912420127126038,-1.48536824578015,0.245701245818898,-0.351602967908009,"Study2_G8_T2_Synchronous.csv"
"12","12",16.999676,84.4190754835485,98.108358,4.6344243,4.539688,0.882207144011046,-0.653276155511449,0.245701245818898,-0.363681016284525,"Study2_G8_T2_Synchronous.csv"
"13","13",17.001343,84.4190754835485,96.9305,4.5904536,4.7700961,0.817735057944424,-0.012766243403012,0.245701245818898,-0.398057000125379,"Study2_G8_T2_Synchronous.csv"
"14","14",17.003009,84.4190754835485,96.9305,4.5359502,4.9172485,0.737819389198565,0.396301713802251,0.245701245818898,-0.398057000125379,"Study2_G8_T2_Synchronous.csv"
"15","15",17.004674,84.4190754835485,96.9305,4.49971,4.9891483,0.684682157053714,0.596175479432079,0.245701245818898,-0.398057000125379,"Study2_G8_T2_Synchronous.csv"
"16","16",17.006341,84.4190754835485,96.9305,4.4751887,5.0125486,0.648727774611191,0.661225814452032,0.245701245818898,-0.398057000125379,"Study2_G8_T2_Synchronous.csv"
"17","17",17.008008,84.4190754835485,96.9305,4.4731139,5.0160568,0.645685596884408,0.670978235802057,0.245701245818898,-0.398057000125379,"Study2_G8_T2_Synchronous.csv"
"18","18",17.009675,84.4190754835485,96.9305,4.5007594,5.0120732,0.686220840929984,0.659904253221258,0.245701245818898,-0.398057000125379,"Study2_G8_T2_Synchronous.csv"
"19","19",17.01134,84.4190754835485,93.963822,4.5444435,5.0031916,0.750272699439012,0.635214353710858,0.245701245818898,-0.484639996538373,"Study2_G8_T2_Synchronous.csv"
