"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",22.856858,85.390602878384,82.1918,3.62113706567479,5.27631434706372,-0.0588285669751431,-0.0217615611992456,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"2","2",22.858524,85.390602878384,82.1918,3.62113706567479,5.27631434706372,-0.0588285669751431,-0.0217615611992456,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"3","3",22.860191,85.390602878384,82.1918,3.62113706567479,5.27631434706372,-0.0588285669751431,-0.0217615611992456,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"4","4",22.861857,85.390602878384,82.1918,3.62113706567479,5.27631434706372,-0.0588285669751431,-0.0217615611992456,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"5","5",22.863525,85.390602878384,82.1918,3.62113706567479,5.27631434706372,-0.0588285669751431,-0.0217615611992456,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"6","6",22.865192,85.390602878384,82.1918,3.62113706567479,5.27631434706372,-0.0588285669751431,-0.0217615611992456,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"7","7",22.866859,85.390602878384,82.1918,1.8137543,5.27631434706372,-2.41884360422541,-0.0217615611992456,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"8","8",22.868525,85.390602878384,82.1918,1.9865753,5.27631434706372,-2.19318019385182,-0.0217615611992456,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"9","9",22.870193,85.390602878384,82.1918,2.07753,4.1081451,-2.07441483668164,-2.65059484619232,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"10","10",22.871859,85.390602878384,82.1918,2.1594513,4.2942626,-1.96744496646773,-2.23175838037239,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"11","11",22.873523,85.390602878384,82.1918,2.3926757,4.4870945,-1.66290898133667,-1.79781191379433,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"12","12",22.875192,85.390602878384,82.1918,2.8561161,4.6456481,-1.05776527097218,-1.44100489958542,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"13","13",22.876858,85.390602878384,82.1918,3.4205108,4.7473844,-0.320799087471445,-1.21205881801009,0.0769535390740937,-0.588727796815045,"Study2_G8_T3_Conversation.csv"
"14","14",22.878524,85.390602878384,52.602752,3.8748931,4.8121033,0.27251688357025,-1.0664162247679,0.0769535390740937,-1.3381225931929,"Study2_G8_T3_Conversation.csv"
"15","15",22.880191,85.390602878384,20.445594,4.082837,4.8802489,0.544042506268794,-0.913062229226491,0.0769535390740937,-2.1525593020556,"Study2_G8_T3_Conversation.csv"
"16","16",22.881859,85.390602878384,26.2123,4.0213868,4.9834441,0.463803057937057,-0.680833057560308,0.0769535390740937,-2.00650730779607,"Study2_G8_T3_Conversation.csv"
"17","17",22.883526,105.29337,26.2123,3.7696198,5.1100586,0.135054816464503,-0.39590138965397,2.79957047298913,-2.00650730779607,"Study2_G8_T3_Conversation.csv"
"18","18",22.885192,104.257,26.2123,3.4288666,5.2023163,-0.309888386084463,-0.188285829523004,2.65779930646942,-2.00650730779607,"Study2_G8_T3_Conversation.csv"
