Resp1,Resp2,HR1,HR2
0.25462964,2.849292,82.4176,63.8978
0.25473951,2.9995938,82.4176,63.8978
0.25818186,3.201718,77.613057,63.8978
0.26640009,3.3897884,76.3359,63.8978
0.29351194,3.5900421,76.3359,63.8978
0.42253108,3.7750638,76.3359,65.656928
0.7969482,3.9387482,76.3359,67.0391
1.3847532,4.0668301,76.3359,67.0391
2.0118288,4.1226091,76.3359,67.0391
2.5232421,4.1020111,76.3359,67.0391
2.8519561,4.0459688,76.3359,67.0391
3.0343684,3.985409,76.3359,67.0391
3.1141658,3.9432677,76.539957,67.0391
3.1168053,3.9057588,76.5942,67.0391
3.0738499,3.8471496,76.5942,66.365098
3.0126464,3.7645477,76.5942,64.8649
2.9486629,3.6857053,76.5942,64.8649
2.8895636,3.6127566,76.5942,64.8649
2.822061,3.5462705,76.5942,64.8649
2.7243281,3.4964938,76.5942,64.8649
2.5830261,3.465534,76.5942,64.8649
2.4117705,3.4499882,76.5942,64.8649
2.2437932,3.4569181,80.399551,64.8649
2.1122592,3.472557,81.4111,64.8649
2.0201142,3.4564818,81.4111,63.316248
1.9574191,3.4185518,81.4111,62.8272
1.9155061,3.3872769,81.4111,62.8272
1.8881655,3.3481476,81.4111,62.8272
1.8738181,3.2953615,81.4111,62.8272
1.8725305,3.2421109,81.4111,62.8272
1.8850245,3.2070891,81.4111,62.8272
1.9023902,3.1950305,81.4111,62.8272
1.909149,3.2034912,81.938978,62.8272
1.8234987,3.2187741,82.0793,62.8272
1.6721252,3.2331969,82.0793,60.781383
1.5147003000000001,3.2465975,82.0793,60.3015
1.3388762,3.2581575,82.0793,60.3015
1.158151,3.2564242,82.0793,60.3015
1.02852489,3.2285217,82.0793,60.3015
0.9738404,3.1593904,82.0793,60.3015
0.97497867,3.0634516,82.0793,60.3015
1.00080286,2.974472,82.0793,60.3015
1.0295987,2.9111511,84.821311,60.3015
1.0473697,2.8777736,85.5502,60.3015
1.05161,2.8758631,85.5502,59.63349
1.0455809,2.8969518,85.5502,59.3472
1.0366022,2.9239505,85.5502,59.3472
1.0274872,2.947341,85.5502,59.3472
1.00228261,2.9559265,85.5502,59.3472
0.9423401,2.9498034,85.5502,59.3472
0.85987855,2.9284888,85.5502,59.3472
0.77795715,2.9059994,85.5502,59.3472
0.6699249,2.892616,87.466977,59.3472
0.45498962,2.8854861,87.9765,59.3472
0.22431031,2.8732049,87.9765,59.80416
0.093859875,2.8575805,87.9765,60
0.06474915,2.8342682,87.9765,60
0.096023536,2.8075992,87.9765,60
0.14249268,2.7833584,87.9765,60
0.17744142,2.7631503,87.9765,60
0.20019834,2.7441129,87.9765,60
0.21564928,2.7134403,87.9765,60
0.21885374,2.6732366,90.027182,60
0.19212639,2.615991,90.5723,60.350467
0.14579469,2.5629615,90.5723,62.6959
0.11630857,2.5385199,90.5723,62.6959
0.11971742,2.5402672,90.5723,62.6959
0.14480898,2.5332707,90.5723,62.6959
0.17144471,2.5165102,90.5723,62.6959
0.19948419,2.5061143,90.5723,62.6959
0.21064435,2.513192,90.5723,62.6959
0.19382316,2.5352453,90.5723,62.6959
0.14616702,2.5664123,93.082683,62.6959
0.069488522,2.594537,93.75,64.114129
-0.06397400548,2.604468,93.75,64.4468
-0.28163757,2.595172,93.75,64.4468
-0.53883668,2.555738,93.75,64.4468
-0.76324465,2.4810363,93.75,64.4468
-0.91167602,2.3624357,93.75,64.4468
-0.99219338,2.2355193,93.75,64.4468
-1.0273898,2.130994,93.75,64.4468
-1.0421141,2.0310973,93.75,65.617332
-1.0702786,1.9402219,95.529238,69.7674
-1.1315037,1.8752077,96.0022,69.7674
-1.1979312,1.8254303,96.0022,69.7674
-1.2516353,1.8074847,96.0022,69.7674
-1.3020563,1.8568698,96.0022,69.7674
-1.3788754,1.989841,96.0022,69.7674
-1.4820896,2.2423518,96.0022,69.7674
-1.5847503,2.5918522,96.0022,69.7674
1.2885796339549,2.9677155,96.0022,70.799028
1.2885796339549,3.2842167,96.0022,71.09
1.2885796339549,3.4905218,96.186902,71.09
1.2885796339549,3.5821322,96.236,71.09
1.2885796339549,3.597107,96.236,71.09
1.2885796339549,3.5794558,96.236,71.09
1.2885796339549,3.5483275,96.236,71.09
1.2885796339549,3.5065247,96.236,71.09
1.2885796339549,3.4620089,96.236,71.503072
1.2885796339549,3.4335394,96.236,72.0288
-1.4947326,3.4191706,96.236,72.0288
-0.65891443,3.404321,96.236,72.0288
0.3596710061,3.3833311,93.812043,72.0288
1.3158136,3.3549381,93.1677,72.0288
2.0674283,3.31398,93.1677,72.0288
2.5604613,3.2639651,93.1677,72.0288
2.8252654,3.211334,93.1677,72.0288
2.9228879,3.1714724,93.1677,70.837888
2.9193024,3.1505254,93.1677,64.5856
2.8704527,3.1391956,93.1677,64.5856
2.8062621,3.1104309,93.1677,64.5856
2.7421052,3.0618895,93.1677,64.5856
2.6462704,3.0077305,92.434343,64.5856
2.4774014,2.9496217,92.2394,64.5856
2.2562465,2.9019923,92.2394,64.5856
2.0565364,2.8716334,92.2394,64.5856
1.9105716,2.8630906,92.2394,64.5856
1.8215603,2.8648587,92.2394,64.5856
1.7691405,2.8557865,92.2394,64.5856
1.721277,2.7814573,92.2394,53.824003
1.6129881,2.6569487,92.2394,53.7153
1.4383356,2.4967382,92.2394,53.7153
1.2733975,2.2766111,86.891653,53.7153
1.1516388,2.0502533,85.4701,53.7153
1.0589751,1.8780705,85.4701,53.7153
0.98383194,1.7703252,85.4701,53.7153
0.93961491,1.7118472,85.4701,53.7153
0.92935168,1.692897,85.4701,53.7153
0.92273861,1.7074895,85.4701,53.7153
0.87972413,1.7593871,85.4701,53.7153
