Resp1,Resp2,HR1,HR2
-0.89291077,0.25462964,92.4499,82.4176
-1.3695922,0.25473951,92.4499,82.4176
-1.7387568,0.25818186,92.4499,77.613057
-1.8753143,0.26640009,92.4499,76.3359
-1.6804598,0.29351194,92.4499,76.3359
-1.14956372,0.42253108,92.4499,76.3359
-0.428680408,0.7969482,92.4499,76.3359
0.27510072794,1.3847532,92.4499,76.3359
0.74964905,2.0118288,93.463978,76.3359
0.95135804,2.5232421,93.75,76.3359
0.93127139,2.8519561,93.75,76.3359
0.77261043,3.0343684,93.75,76.3359
0.60700376,3.1141658,93.75,76.539957
0.49742127,3.1168053,93.75,76.5942
0.41298218,3.0738499,93.75,76.5942
0.30500794,3.0126464,93.75,76.5942
0.153198199,2.9486629,93.75,76.5942
0.056912232,2.8895636,93.75,76.5942
0.165792789,2.822061,93.635886,76.5942
0.51676324,2.7243281,93.6037,76.5942
0.99685671,2.5830261,93.6037,76.5942
1.3063073,2.4117705,93.6037,76.5942
1.2260407,2.2437932,93.6037,80.399551
0.78558643,2.1122592,93.6037,81.4111
0.2325378457,2.0201142,93.6037,81.4111
-0.259103435,1.9574191,93.6037,81.4111
-0.63416747,1.9155061,93.6037,81.4111
-0.94530623,1.8881655,93.6037,81.4111
-1.2069552,1.8738181,95.837074,81.4111
-1.4316432,1.8725305,96.467,81.4111
-1.575879,1.8850245,96.467,81.4111
-1.6050208,1.9023902,96.467,81.4111
-1.5664462,1.909149,96.467,81.938978
-1.5117375,1.8234987,96.467,82.0793
-1.4992683,1.6721252,96.467,82.0793
-1.5444708,1.5147003000000001,96.467,82.0793
-1.6286744,1.3388762,96.467,82.0793
-1.7180361,1.158151,96.467,82.0793
-1.7752134,1.02852489,98.453816,82.0793
-1.7814604,0.9738404,99.0142,82.0793
-1.7828341,0.97497867,99.0142,82.0793
-1.8700315,1.00080286,99.0142,82.0793
-1.9610625,1.0295987,99.0142,84.821311
-1.989511,1.0473697,99.0142,85.5502
-1.9525817,1.05161,99.0142,85.5502
-1.9209536,1.0455809,99.0142,85.5502
-1.9591464,1.0366022,99.0142,85.5502
-2.073065,1.0274872,99.0142,85.5502
-2.204617,1.00228261,100.175464,85.5502
-2.22734,0.9423401,100.503,85.5502
-2.1605289,0.85987855,100.503,85.5502
-2.0558624,0.77795715,100.503,85.5502
-1.9631194,0.6699249,100.503,87.466977
-1.9019041,0.45498962,100.503,87.9765
-1.873709,0.22431031,100.503,87.9765
-1.8867766,0.093859875,100.503,87.9765
-2.0460604,0.06474915,100.503,87.9765
-2.3646238,0.096023536,100.503,87.9765
-2.7136318,0.14249268,101.83914,87.9765
-2.9955719,0.17744142,102.216,87.9765
-3.1351321,0.20019834,102.216,87.9765
-3.172073,0.21564928,102.216,87.9765
-3.2091215,0.21885374,102.216,90.027182
-3.4512763,0.19212639,102.216,90.5723
-3.9830779,0.14579469,102.216,90.5723
-4.4943052,0.11630857,102.216,90.5723
