Resp1,Resp2,HR1,HR2
4.395148,-10,113.695,101.903
4.5586667,-10,111.8434,101.903
4.6751373,-10,101.351,101.903
4.7431434,-10,101.351,101.903
4.7671208,-10,101.351,96.512804
4.7564058,-10,101.351,95.8466
4.7321952,-10,101.351,95.8466
4.7479064,-10,101.351,95.8466
4.8218996,-10,101.351,95.8466
4.9352998,-10,101.351,95.8466
5.0341369,-10,101.351,95.8466
5.0822233,-10,101.012345,95.8466
5.0850123,-10,99.0933,95.8466
5.0696689,-10,99.0933,95.8466
5.0486748,-10,99.0933,92.257052
5.0288275,-10,99.0933,91.8134
5.0085783,-10,99.0933,91.8134
4.9773654,-10,99.0933,91.8134
4.9364498,-10,99.0933,91.8134
4.8992283,-10,99.0933,91.8134
4.8720648,-10,99.0933,91.8134
4.8612954,-10,98.698755,91.8134
4.8611493,-10,96.463,91.8134
4.8609844,-10,96.463,91.8134
4.8589642,-10,96.463,93.018727
4.8402497,-10,96.463,93.1677
4.8089323,-10,96.463,93.1677
4.7710509,-10,96.463,93.1677
4.7357266,-10,96.463,93.1677
4.7198909,-10,96.463,93.1677
4.7154757,-10,96.463,93.1677
4.6963894,-10,95.713345,93.1677
4.6730257,-10,91.4653,93.1677
4.656271,-10,91.4653,93.1677
4.6473639,-10,91.4653,94.350421
4.6461192,-10,91.4653,94.4966
4.6514521,-10,91.4653,94.4966
4.6490353,-10,91.4653,94.4966
4.6278349,-10,91.4653,94.4966
4.6057742,-10,91.4653,94.4966
4.5933051,-10,91.4653,94.4966
4.5845507,-10,91.340665,94.4966
4.5773506,-10,90.6344,94.4966
4.5754369,-10,90.6344,94.4966
4.5470856,-10,90.6344,98.379937
4.4987668,-10,90.6344,98.8599
4.4622431,-10,90.6344,98.8599
4.4397217,-10,90.6344,98.8599
4.4085174,-10,90.6344,98.8599
4.3435941,-10,90.6344,98.8599
4.2445621,-10,90.6344,98.8599
4.1304446,-10,91.329305,98.8599
4.0287289,-10,95.2671,98.8599
3.9501159,-10,95.2671,98.8599
3.906662,-10,95.2671,101.076979
3.8642243,-10,95.2671,101.351
3.791458,-10,95.2671,101.351
3.6910978,-10,95.2671,101.351
3.597049,-10,95.2671,101.351
3.5211515,-10,95.2671,101.351
3.4714046,-10,95.2671,101.351
3.449335,-10,95.96829,101.351
3.43295,-10,99.9417,101.351
3.4167755,-10,99.9417,101.351
3.4038919,-10,99.9417,104.67337
3.4029583,-10,99.9417,105.084
3.3987922,-10,99.9417,105.084
3.3707243,-10,99.9417,105.084
3.2924345,-10,99.9417,105.084
