Resp1,Resp2,HR1,HR2
4.470122,0.0092681935,71.9424,98.0392
4.4607693,0.032647705,71.9424,98.0392
4.4298218,0.056878668,71.9424,98.0392
4.3875458,0.0368652372,71.9424,100.513092
4.329373,-0.07399293489,71.9424,100.671
4.2413909,-0.29169006,71.9424,100.671
4.1195344,-0.53908694,71.9424,100.671
3.9842219,-0.7571106,71.9424,100.671
3.86196,-0.8657257,71.9424,100.73085
3.7425752,-0.80173036,73.038797,101.868
3.5808348,-0.49708251,73.8007,101.868
3.3714076,-0.04165341944,73.8007,101.868
3.1882539,0.3159546,73.8007,101.868
3.0744114,0.5220184,73.8007,101.868
3.0098476,0.58685004,73.8007,101.868
2.960434,0.55989988,73.8007,98.198396
2.9385535,0.48180237,73.8007,97.8793
2.9261536,0.3508881,73.8007,97.8793
2.8816585,0.171853618,73.8007,97.8793
2.7976925,0.0055755604,75.759559,97.8793
2.7238131,-0.126089507,77.1208,97.8793
2.6514649,-0.2223023,77.1208,95.54842
2.5098847,-0.293277,77.1208,93.0233
2.3485992,-0.36186829,77.1208,93.0233
2.2268985,-0.43974606,77.1208,93.0233
2.1780237,-0.49976507,77.1208,93.0233
2.1921138,-0.52491441,77.1208,93.0233
2.2580076,-0.51499021,77.1208,93.0233
2.3753079,-0.46752628,77.1208,91.832714
2.5240601,-0.3817566,78.983489,91.7431
2.6814638,-0.32953493,80.2779,91.7431
2.8360167,-0.34123547,80.2779,91.7431
2.9717621,-0.38650508,80.2779,91.7431
3.0642268,-0.47397156,80.2779,91.7431
3.0794711,-0.56529541,80.2779,91.985878
2.9892547,-0.62614745,80.2779,92.3077
2.8091887,-0.66326602,80.2779,92.3077
2.6006961,-0.71374821,80.2779,92.3077
2.4500669,-0.78429567,80.2779,92.3077
2.2959594,-0.82178048,78.709562,92.3077
2.0355743,-0.81415098,77.6197,92.39451
1.7269257,-0.77660213,77.6197,94.0439
1.586374,-0.72208864,77.6197,94.0439
1.7469453,-0.70227345,77.6197,94.0439
2.1292847,-0.76566469,77.6197,94.0439
2.4538729,-0.87604371,77.6197,94.0439
2.4964750000000002,-1.00462035,77.6197,94.0439
2.2976929,-1.2410158,77.6197,96.72218
2.1385653,-1.6399963,77.6197,97.0874
2.2022427,-2.1558567,78.773681,97.0874
2.4317235,-2.5937594,79.5756,97.0874
2.7043426,-2.8688636,79.5756,97.0874
2.9740232,-3.1000763,79.5756,97.0874
3.2211034,-0.724709603865153,79.5756,98.380808
3.4096405,-0.724709603865153,79.5756,98.6842
3.5458645,-0.724709603865153,79.5756,98.6842
3.6586789,-0.724709603865153,79.5756,98.6842
3.742337,-0.724709603865153,79.5756,98.6842
3.7693668,-0.724709603865153,79.5756,98.6842
3.7328581,-0.724709603865153,84.962359,103.806
3.6061005,-0.724709603865153,88.7057,103.806
3.3629791,-0.724709603865153,88.7057,103.806
3.0223755,-0.724709603865153,88.7057,103.806
2.6365418,-0.724709603865153,88.7057,103.806
2.2556092,-0.724709603865153,88.7057,106.05864
1.9321623,-0.724709603865153,88.7057,108.499
1.7295742,-0.724709603865153,88.7057,108.499
1.6372283,-0.724709603865153,88.7057,108.499
1.6100312,-0.724709603865153,88.7057,108.499
1.6231903,-0.724709603865153,90.415166,108.499
1.6423889,-0.724709603865153,91.6031,108.69009
1.601111,-0.724709603865153,91.6031,108.696
1.3746734,-0.724709603865153,91.6031,108.696
0.83699042,-0.724709603865153,91.6031,108.696
-0.2300140187,-0.724709603865153,91.6031,108.696
-1.52030918,-0.724709603865153,91.6031,108.24009
-2.1640173,-0.724709603865153,91.6031,107.527
-1.9952185,-0.724709603865153,91.6031,107.527
-1.22902482,-0.724709603865153,91.6031,107.527
-0.1975006611,-0.724709603865153,87.135443,107.527
0.80987846,-2.8663394,84.0308,107.527
1.7088715,-1.9213291,84.0308,105.98748
2.4437408,-1.16727021,84.0308,105.263
2.9333031,-0.66967778,84.0308,105.263
3.1540865,-0.40941162,84.0308,105.263
3.1540616,-0.32046499,84.0308,105.263
3.0060183,-0.33612061,84.0308,106.1082
2.7780761,-0.41135257,84.0308,109.489
2.5053495,-0.51052854,84.0308,109.489
2.177405,-0.60516966,81.527076,109.489
1.9375429,-0.67738641,79.7872,109.489
1.8269899,-0.71869815,79.7872,109.489
1.7114466,-0.73792425,79.7872,107.50774
1.5233793,-0.76026608,79.7872,105.82
1.208884,-0.811264,79.7872,105.82
0.80544439,-0.87828064,79.7872,105.82
0.333746402,-0.93705137,79.7872,105.82
-0.1169128742,-0.9787536,79.7872,105.82
-0.3275452,-1.00014022,79.7872,103.212375
-0.08428650423,-1.00236488,79.291718,95.3895
0.31592715,-1.01129729,78.9474,95.3895
0.61492621,-1.0637332,78.9474,95.3895
