Resp1,Resp2,HR1,HR2
-3.2900935,2.849292,81.3008,63.8978
-3.2412781,2.9995938,81.3008,63.8978
-2.8466124,3.201718,81.3008,63.8978
-1.9491516,3.3897884,96.3178638573339,63.8978
-0.78922124,3.5900421,96.3178638573339,63.8978
0.23218688682,3.7750638,96.3178638573339,65.656928
0.84206238,3.9387482,96.3178638573339,67.0391
1.0490781,4.0668301,96.3178638573339,67.0391
1.00019852,4.1226091,96.3178638573339,67.0391
0.80465089,4.1020111,96.3178638573339,67.0391
0.49951474,4.0459688,96.3178638573339,67.0391
0.0952361959,3.985409,79.8935,67.0391
-0.32790831,3.9432677,79.8935,67.0391
-0.72407525,3.9057588,79.8935,67.0391
-1.10507506,3.8471496,79.8935,66.365098
-1.435458,3.7645477,79.8935,64.8649
-1.7281161,3.6857053,79.8935,64.8649
-2.1006164,3.6127566,79.8935,64.8649
-2.5322082,3.5462705,80.185064,64.8649
-2.9429507,3.4964938,80.2139,64.8649
-3.1686677,3.465534,80.2139,64.8649
-3.2256403,3.4499882,80.2139,64.8649
-3.2370121,3.4569181,80.2139,64.8649
-3.2688043,3.472557,80.2139,64.8649
-3.2815134,3.4564818,80.2139,63.316248
-3.257943,3.4185518,80.600378,62.8272
-3.2546693,3.3872769,80.9717,62.8272
-3.5789612,3.3481476,80.9717,62.8272
-4.2014379,3.2953615,80.9717,62.8272
-4.7604524,3.2421109,80.9717,62.8272
-5.111517,3.2070891,80.9717,62.8272
-5.2515657,3.1950305,80.9717,62.8272
-5.100976,3.2034912,82.22494,62.8272
-4.7461574,3.2187741,84.2697,62.8272
-4.3879604,3.2331969,84.2697,60.781383
-4.1212588,3.2465975,84.2697,60.3015
-3.9725739,3.2581575,84.2697,60.3015
-4.067432,3.2564242,84.2697,60.3015
-4.3562072,3.2285217,84.2697,60.3015
-4.6352046,3.1593904,87.310404,60.3015
-4.8123783,3.0634516,89.0208,60.3015
-5.0643891,2.974472,89.0208,60.3015
-5.541403,2.9111511,89.0208,60.3015
-6.1083191,2.8777736,89.0208,60.3015
-6.5711182,2.8758631,89.0208,59.63349
-6.8165402,2.8969518,90.120696,59.3472
-6.8169926,2.9239505,93.6037,59.3472
-6.6977019,2.947341,93.6037,59.3472
-6.6254949,2.9559265,93.6037,59.3472
-6.6746855,2.9498034,93.6037,59.3472
-6.7831545,2.9284888,93.6037,59.3472
-6.8940666,2.9059994,93.660886,59.3472
-6.9745941,2.892616,96.463,59.3472
-7.0493007,2.8854861,96.463,59.3472
-6.7180725,2.8732049,96.463,59.80416
-5.4528136,2.8575805,96.463,60
-3.6201751,2.8342682,96.463,60
-2.0228699,2.8075992,96.79319,60
-1.1333071,2.7833584,101.18,60
-0.87383108,2.7631503,101.18,60
-1.06655941,2.7441129,101.18,60
-1.4660154,2.7134403,101.18,60
-1.9551879,2.6732366,101.18,60
-2.5124267,2.615991,101.94154,60.350467
-3.1216277,2.5629615,103.806,62.6959
-3.588025,2.5385199,103.806,62.6959
-3.8982664,2.5402672,103.806,62.6959
-4.0736819,2.5332707,103.806,62.6959
-4.1469515,2.5165102,103.806,62.6959
-4.2665129,2.5061143,103.9014,62.6959
-4.4924745,2.513192,103.986,62.6959
-4.6776062,2.5352453,103.986,62.6959
-4.8051545,2.5664123,103.986,62.6959
-5.0087216,2.594537,103.986,64.114129
-5.3293309,2.604468,103.986,64.4468
-5.6080722,2.595172,102.3024,64.4468
-5.8256928,2.555738,101.18,64.4468
-6.1475258,2.4810363,101.18,64.4468
-6.4827272,2.3624357,101.18,64.4468
-6.7392482,2.2355193,101.18,64.4468
-6.8972957,2.130994,101.18,64.4468
-6.9801821,2.0310973,100.37216,65.617332
-6.9726897,1.9402219,99.8336,69.7674
-6.9208651,1.8752077,99.8336,69.7674
-6.9406465,1.8254303,99.8336,69.7674
-7.1287997,1.8074847,99.8336,69.7674
-7.3604033,1.8568698,99.8336,69.7674
-7.2654267,1.989841,99.1779,69.7674
-6.2961547,2.2423518,98.5222,69.7674
-4.4879393,2.5918522,98.5222,69.7674
-2.2222536,2.9677155,98.5222,70.799028
-0.1560790836,3.2842167,98.5222,71.09
1.24741226,3.4905218,98.5222,71.09
1.8980982,3.5821322,99.3446,71.09
1.9953091,3.597107,100.167,71.09
1.8123688,3.5794558,100.167,71.09
1.5129118,3.5483275,100.167,71.09
1.1889708,3.5065247,100.167,71.09
0.9169006,3.4620089,100.167,71.503072
0.73913879,3.4335394,102.95487,72.0288
0.64037476,3.4191706,103.986,72.0288
0.51210933,3.404321,103.986,72.0288
0.11369015876,3.3833311,103.986,72.0288
-0.4029389,3.3549381,103.986,72.0288
-0.84541626,3.31398,103.986,72.0288
-1.2008822,3.2639651,101.4003,72.0288
-1.4788264,3.211334,100.671,72.0288
-1.6694517,3.1714724,100.671,70.837888
-1.828266,3.1505254,100.671,64.5856
-2.0024871,3.1391956,100.671,64.5856
-2.1865237,3.1104309,100.671,64.5856
-2.3398164,3.0618895,99.188328,64.5856
-2.4612825,3.0077305,98.5222,64.5856
-2.5604217,2.9496217,98.5222,64.5856
-2.6633604,2.9019923,98.5222,64.5856
-2.7764467,2.8716334,98.5222,64.5856
-2.8473264,2.8630906,98.5222,64.5856
-2.9252381,2.8648587,97.554376,64.5856
