Resp1,Resp2,HR1,HR2
2.4388008,2.7306245,136.674,116.1234
2.4498995,2.6460875,136.674,114.723
2.4559887,2.6105109,136.674,114.723
2.4639435,2.6123024,136.674,114.723
2.4762699,2.6432037,137.31904,114.723
2.4777836,2.6704559,137.407,114.723
2.4632632,2.6772214,137.407,112.44096
2.4513854,2.6836481,137.407,110.497
2.4514984,2.8194186,137.407,110.497
2.4600747,3.1763091,137.407,110.497
2.458963,3.6994147,137.407,110.497
2.4671973,4.2620793,137.407,113.1646
2.5143881,4.7598567,137.407,114.943
2.6042109,5.1483853,137.407,114.943
2.6948883,5.4096254,136.49092,114.943
2.758057,5.5271968,136.366,114.943
2.7952386,5.5266237,136.366,115.45406
2.8075263,5.4585087,136.366,116.054
2.7943539,5.3617398,136.366,116.054
2.7502255,5.2674653,136.366,116.054
2.7034546,5.1952237,136.366,116.054
2.6853862,5.1929136,136.366,115.899
2.7006319,5.3063388,136.366,114.504
2.7263147,5.5257788,136.366,114.504
2.7463695,5.8098454,135.01608,114.504
2.7639612,6.1010584,134.832,114.504
2.7809481,6.346744,134.832,114.504
2.7919062,6.5110684,134.832,117.49842
2.7901587,6.5840337,134.832,118.343
2.785819,6.5727999,134.832,118.343
2.7715887,6.5169555,134.832,118.343
2.7549866,6.460254,134.832,118.343
2.7402043,6.4104091,134.832,118.343
2.7234281,6.3630768,134.832,118.343
2.7054077,6.3117378,134.30136,118.343
2.6850337,6.2544156,134.229,118.343
2.6641082,6.2092071,134.229,118.343
2.6478749,6.2036471,134.229,118.343
2.6395421,6.2340671,134.229,118.343
2.6276493,6.2902678,134.229,118.343
2.5855926,6.3436033,134.229,118.343
2.4973845,6.373349,134.229,118.343
2.4058681,6.3845623,134.229,118.343
2.3656046,6.3968321,134.229,65.02779
2.3731163,6.4084742,135.3862,123.353217508538
2.3922702,6.4080562,135.544,123.353217508538
2.3955217,6.3907382,135.544,123.353217508538
2.3854031,6.367602,135.544,123.353217508538
2.391561,6.3568003,135.544,123.353217508538
2.4187105,6.3627526,135.544,123.353217508538
2.4652497,6.3774721,135.544,123.353217508538
2.5308414,6.3740174,135.544,123.353217508538
2.6108159,6.3387025,135.544,123.353217508538
2.695371,6.2865421,135.544,123.353217508538
2.7719573,6.2273255,135.72264,123.353217508538
2.8291373,6.1659241,135.747,123.353217508538
2.8617006,6.1081055,135.747,123.353217508538
2.8709092,6.0592531,135.747,123.353217508538
2.8643734,6.0238672,135.747,123.353217508538
2.8265471,6.0022891,135.747,123.353217508538
2.7679444,5.9621248,135.747,123.353217508538
2.7167325,5.8756075,135.747,123.353217508538
2.6883109,5.7393612,135.747,123.353217508538
2.6701515,5.6022218,135.747,123.353217508538
2.6564689,5.5220153,135.34396,123.353217508538
2.6478356,5.4945158,135.289,123.353217508538
2.6140412,5.4847569,135.289,123.353217508538
2.5136076,5.4672666,135.289,123.353217508538
2.3867037,5.4410923,135.289,123.353217508538
2.3009125,5.4155632,135.289,123.353217508538
2.2761176,5.4025365,135.289,157.76439
2.2687106,5.4046777,135.289,172.414
2.2397458,5.3988428,135.289,172.414
2.1902344,5.3402525,135.289,176.297
2.1548072,5.2286621,133.83172,180.18
2.2409818,5.1090269,133.633,180.18
2.4818325,5.0109737,133.633,180.18
2.7349364,4.933371,133.633,168.39288
2.9054715,4.8377562,133.633,157.068
2.987985,4.7241945,133.633,157.068
3.0031576,4.631656,133.633,169.54848
2.9457521,4.559958,133.633,180.18
2.846157,4.479736,133.633,180.18
2.7470494,4.3897824,133.633,180.18
2.6802918,4.3147803,130.74396,180.18
2.6380307,4.2645413,130.35,169.45056
2.5821532,4.2161131,130.35,150.376
2.4791531,4.147815,130.35,150.376
2.3490693,4.0384304,130.35,150.376
2.2431336,3.9012635,130.35,143.12134
2.2099341,3.7840429,130.35,115.83
2.2632087,3.7031922,130.35,115.83
2.3756226,3.6325534,130.35,115.83
2.5052614,3.5368561,130.35,115.83
2.6184816,3.435376,130.05256,116.62442
2.6935944,3.3767358,130.012,119.284
2.7353122,3.3743006,130.012,119.284
2.7549677,3.3974002,130.012,119.284
2.7628637,3.4001773,130.012,119.284
2.7540038,3.3577485,130.012,119.27456
2.7312253,3.2957126,130.012,119.048
2.7164153,3.2406551,130.012,119.048
2.7100966,3.1600286,130.012,119.048
2.7033389,3.0631261,130.012,119.048
2.6798982,2.9758788,131.64792,119.94793
2.6499264,2.9581081,131.871,121.951
2.6287903,3.1791966,131.871,121.951
2.6135401,3.7210203,131.871,121.951
2.5921576,4.4147886,131.871,121.951
2.5403326,5.0429722,131.871,123.31761
2.4881192,5.4651797,131.871,124.74
2.5333923,5.6651364,131.871,124.74
2.5378757,5.7174503,131.871,124.74
2.3868194,5.6696748,131.871,124.74
2.1724208,5.5712924,132.7686,124.857
1.9663905,5.4835024,132.891,125
1.8010713,5.4265993,132.891,125
1.6375398,5.3820768,132.891,125
1.4488886,5.3336579,132.891,125
2.57105781314452,5.2930329,132.891,125.44978
2.57105781314452,5.2719459,132.891,125.523
2.57105781314452,5.2624596,132.891,125.523
2.57105781314452,5.2462649,132.891,125.523
2.57105781314452,5.2062378,132.891,125.523
2.57105781314452,5.146106,131.73644,123.3368
2.57105781314452,5.0807711,131.579,122.951
1.319046,5.0043215,131.579,122.951
1.3875517,4.908127,131.579,122.951
1.5018252,4.7974975,131.579,122.951
1.7038573,4.7059725,131.579,117.01766
2.0093388,4.6478451,131.579,111.317
2.3501738,4.5939759,131.579,111.317
2.6334866,4.5280126,131.579,111.317
2.8292019,4.4612551,131.579,111.317
2.9526702,4.41286,132.34636,111.317
3.0190402,4.3585146,132.451,109.442216
3.0351766,4.3875117,132.451,95.6938
3.0154113,4.5957128,132.451,95.6938
2.9764003,4.8836452,132.451,95.6938
2.937262,5.1207948,132.451,95.6938
2.9208559,5.2380672,132.451,99.055864
2.9230533,5.2257909,132.451,123.711
2.9428046,5.2345795,132.451,123.711
2.9671053,5.3696683,132.451,128.3371
2.9817753,5.5995023,132.451,169.972
2.9720533,5.8747837,132.451,169.972
2.9555362,6.1413546,132.451,169.972
2.9615447,6.3480101,132.451,169.972
2.9856507,6.4741244,132.451,169.972
2.9911368,6.5340757,132.451,169.972
2.9721377,6.5556456,132.451,106.35608
2.9535087,6.5528932,132.451,96
2.9452006,6.5227693,132.451,96
2.950689,6.4766723,132.451,96
2.9543459,6.422967,132.06556,96
2.9543465,6.352051,132.013,96
2.9493162,6.2485777,132.013,100.3587
2.9377199,6.1000914999999996,132.013,101.01
2.9223321,5.9076722,132.013,101.01
2.9053378,5.7228544,132.013,101.01
2.9004716,5.5938386,132.013,101.01
2.9004562,5.5110963,132.013,107.46424
2.8999465,5.4560576,132.013,113.422
2.8917563,5.4290929,132.013,113.422
2.8782956,5.4213437,131.001,113.422
2.8638214,5.3917571,130.863,113.422
2.8455744,5.3115905,130.863,113.422
2.8181459,5.1864384,130.863,113.422
2.7932192,5.0563173,130.863,113.422
2.7891851,4.973282,130.863,113.422
2.8031679,4.9497215,130.863,79.670263
2.8229041,4.9723396,130.863,74.6269
2.8351499,5.003412,130.863,74.6269
2.8367932,4.9970157,130.863,74.6269
2.8354267,4.9766415,129.74276,74.6269
2.8307962,4.962366,129.59,74.6269
2.8220403,4.9489076,129.59,74.6269
2.8125173,4.8855655,129.59,74.6269
2.8169373,4.6720549,129.59,74.6269
2.8333646,4.3175113,129.59,66.242875
2.8520232,3.875171,129.59,61.7284
2.8699009,3.3741763,129.59,61.7284
2.8866355,2.8493804,129.59,61.7284
2.9235478,2.3399383,129.59,61.7284
2.9881381,1.9556978,128.2524,61.7284
3.0597016,1.8534421,128.07,61.7284
3.1170293,2.1000188,128.07,61.7284
3.1505338,2.6089752,128.07,76.04375
3.1560142,3.236127,128.07,76.3359
3.1209295,3.8593048,128.07,76.3359
3.0629273,4.3997351,128.07,76.3359
3.0014587,4.7984161,128.07,76.3359
2.9590451,5.0116671,128.07,100.107123
