Resp1,Resp2,HR1,HR2
1.5419762,3.4035861,66.0793,151.97673
1.608792,3.4285551,66.0793,133.482
1.7233001,3.457431,66.0793,133.482
1.8094542,3.4841733,66.0793,133.482
1.8258061,3.4621553,66.0793,133.482
1.7631465,3.4159605,63.466411,133.482
1.6681151,3.3788059,62.5,133.482
1.5752433,3.3612169,62.5,133.482
1.5052604,3.3549411,62.5,133.482
1.5298916,3.3393864,62.5,133.482
1.7256956,3.3326448,62.5,132.28861
2.0538638,3.3623567,62.5,127.201
2.4327457,3.440009,62.5,127.201
2.7522612,3.5920258,62.5,127.201
2.9799008,3.7960879,62.5,127.201
3.1264956,4.0142517,16.875,127.201
3.225781,4.2513429,0,127.201
3.2619939,4.4884859,0,127.201
3.2286654,4.6688693,0,127.201
3.1972189,4.7571653,0,127.201
3.1905637,4.7666658,0,121.971459
3.1694187,4.6868072,0,99.6771
3.1191679,4.5631194,0,99.6771
3.0330444,4.4500636,0,99.6771
2.9239103,4.3704951,0,99.6771
2.8028288,4.3271299,19.466691,99.6771
2.6826171,4.3057613,26.6667,99.6771
2.5856387,4.2844419,26.6667,99.6771
2.5159817,4.2762592,26.6667,99.6771
2.4700834,4.2899081,26.6667,99.6771
2.4432043,4.3139274,26.6667,101.797101
2.4304109,4.3371891,26.6667,110.835
2.4232111,4.3448118,26.6667,110.835
2.4065497,4.323648,26.6667,110.835
2.3852079,4.2868466,26.6667,110.835
2.3731024,4.2558108,98.973419,110.835
2.3714644,4.237276,125.717,110.835
2.3770283,4.2299415,125.717,110.835
2.3839683,4.2347057,125.717,110.835
2.3929576,4.2286623,125.717,110.835
2.4002016,4.2102505,125.717,105.350118
2.3964278,4.1836336,125.717,81.9672
2.392527,4.1599176,125.717,81.9672
2.3910892,4.1482111,125.717,81.9672
2.3910978,4.14083,125.717,81.9672
2.3885153,4.1138763,90.459752,81.9672
2.3887656,4.0817594,77.4194,81.9672
2.3952304,4.1114378,77.4194,81.9672
2.4079953,4.206363,77.4194,81.9672
2.404358,4.3214846,77.4194,81.9672
2.3843289,4.4147885,77.4194,88.769732
2.3633854,4.4738678,77.4194,117.77
