Resp1,Resp2,HR1,HR2
2.1406437,-3.4766603,141.3,99.0099
2.125211,-3.6836763,140.0932,99.0099
2.1479736,-3.8310178,139.576,97.820498
2.1700107,-3.8920417,139.576,97.4026
2.1727326,-3.8831509,139.576,97.4026
2.1553683,-3.8498903,139.576,97.4026
2.1402127,-3.6628025,139.576,97.4026
2.1590364,-3.1263065,139.576,97.4026
2.2331579,-2.3579528,139.576,96.35869
2.3616634,-1.6323759,139.576,91.6031
2.5408299,-1.10797733,139.576,91.6031
2.7262764,-0.83508914,101.19486,91.6031
2.889914,-0.77807614,84.7458,91.6031
3.0534881,-0.82886353,84.7458,91.6031
3.2027863,-0.89920653,84.7458,91.6031
3.2360357,-0.92625419,84.7458,91.344126
3.1525511,-0.92048654,84.7458,91.1854
3.0341466,-0.92220762,84.7458,91.1854
2.9292658,-0.96169131,84.7458,91.1854
2.8331176,-1.0297546,84.7458,91.1854
2.7111451,-1.1147156,84.7458,91.1854
2.5316096,-1.2085297,95.31426,91.164769
2.3154335,-1.2918402,99.8436,90.4977
2.1109069,-1.3483003,99.8436,90.4977
1.9074338,-1.3405945,99.8436,90.4977
1.6735537,-1.2940435,99.8436,90.4977
1.4346403,-1.2512141,99.8436,90.4977
1.2075837,-1.2230132,99.8436,90.4977
1.02495734,-1.171414,99.8436,91.4738
0.84428408,-1.1082241,99.8436,92.4499
0.60218199,-1.0882148,99.8436,92.4499
0.30314634,-1.1126654,102.13148,92.4499
-0.0380066096,-1.152799,103.112,92.4499
-0.35531006,-1.1895626,103.112,92.4499
-0.61430661,-1.265097,103.112,93.333042
-0.92101148,-1.3946593,103.112,95.8466
-1.329889,-1.5138457,103.112,95.8466
-1.7046021,-1.5848514,103.112,95.8466
-1.9839963,-1.7048921,103.112,95.8466
-2.1571105,-1.9284361,103.112,95.8466
-2.2576167,-2.1664367,103.112,96.223715
-2.3383697,-2.3125641,132.1242,98.3607
-2.4286003,-2.3477412,144.558,98.3607
-2.1079925,-2.3244501,144.558,98.3607
-1.07816493,-2.3229787,144.558,98.3607
0.3236846976,-2.3501346,144.558,97.5890807009579
1.6206631,-2.387171,144.558,97.5890807009579
