Resp1,Resp2,HR1,HR2
1.4774385,-3.9709384,110.442,96.4693
1.3736085,-4.0167237,110.442,96.4693
1.2998837,-4.026556,110.442,96.4693
1.2834958,-4.0423866,110.442,96.4693
1.3068176,-4.0586662,110.442,96.4693
1.3328457,-4.0565431,110.442,96.4693
1.3635924,-3.9359835,110.442,96.4693
1.3943357,-3.4803133,110.442,96.4693
1.4202389,-2.4137545,115.45316,96.4693
1.4327475,-0.94630409,121.831,95.194684
1.4305522,0.4603637579,121.831,94.9519
1.4279664,1.5140898,121.831,94.9519
1.4279846,2.1452937,121.831,94.9519
1.4292027,2.4178216,121.831,94.9519
1.4303601,2.4234252,121.831,94.9519
1.4177669,2.2880368,121.831,94.9519
1.4033756,2.0948639,121.831,94.9519
1.3920864,1.7994904,121.831,94.9519
1.3908721,1.3899229,126.55924,94.9519
1.3997623,0.94408557,132.577,93.453172
1.4056305,0.54074399,132.577,93.1677
1.408482,0.2832306,132.577,93.1677
1.4090315,0.150421206,132.577,93.1677
1.413341,0.0483398474,132.577,93.1677
1.4174532,-0.03092041193,132.577,93.1677
1.4148891,-0.062625117,132.577,93.1677
1.4143513,-0.094671653,132.577,93.1677
1.4329346,-0.2188141,132.577,93.1677
1.479053,-0.40209965,150.5906,93.1677
1.5386778,-0.57719725,173.517,92.813976
1.5756289,-0.70523987,173.517,92.7466
1.5754694,-0.77488087,173.517,92.7466
1.5638487,-0.77706899,173.517,92.7466
1.5527226,-0.76664129,173.517,92.7466
1.5466833,-0.78237302,173.517,92.7466
1.5448548,-0.81344607,173.517,92.7466
1.5363425,-0.85171805,173.517,92.7466
1.5308113,-0.92374268,173.517,92.7466
1.5307959,-0.99765623,146.51816,92.7466
1.5346765,-1.0536808,112.156,92.258812
1.5457459,-1.1054201,112.156,92.1659
1.5481145,-1.1972936,112.156,92.1659
1.5425022,-1.3441375,112.156,92.1659
1.5372912,-1.5804962,112.156,92.1659
1.5320442,-1.9472901,112.156,92.1659
1.5272486,-2.33833,112.156,92.1659
1.5172642,-2.6945436,112.156,92.1659
1.4984767,-2.9736544,112.156,92.1659
1.4874579000000001,-3.1823971,118.03572,92.1659
1.4867655,-3.4729983,125.519,93.872276
1.4885892,-3.9005554,125.519,94.1973
1.4946595,-4.2833866,125.519,94.1973
1.4973763,-4.5188875,125.519,94.1973
1.5185124,-4.6528715,125.519,94.1973
1.5744658,-4.7359065,125.519,94.1973
1.6626525,-4.8068301,125.519,94.1973
1.7658016,-4.9189363,125.519,94.1973
1.8360289,-5.051245,125.519,94.1973
1.8526026,-5.2048674,141.77436,94.1973
1.8279119,-5.3522002,162.463,97.101684
1.7840241,-5.5098936,162.463,97.6549
1.744242,-5.7295412,162.463,97.6549
1.7103484,-5.9692048,162.463,97.6549
1.6816405,-6.1491604,162.463,97.6549
1.6588746,-6.2531007,162.463,97.6549
1.6361179,-6.295367,162.463,97.6549
1.6183075,-6.2930142,162.463,97.6549
1.6019046,-6.2632778,162.463,97.6549
1.5791136,-6.2202855,157.54204,97.6549
1.5625425,-6.1760285,151.279,99.206884
1.5553177,-5.8761748,151.279,99.5025
1.5603518,-4.9097445,151.279,99.5025
1.570791,-3.3989621,151.279,99.5025
1.5754642,-1.72941881,151.279,99.5025
1.5864387,-0.2284911826,151.279,99.5025
1.6188564,0.88291654,151.279,99.5025
1.6882572,1.4981965,151.279,99.5025
1.77905,1.7208188,151.279,99.5025
1.8702088,1.7477481,145.5348,99.5025
1.9943179,1.6944461,138.224,98.218476
2.1758728,1.6210238,138.224,97.9739
2.4019561,1.5639192,138.224,97.9739
2.6329896,1.5293115,138.224,97.9739
2.7858582,1.5070412,138.224,97.9739
2.7939147,1.4667757,138.224,97.9739
2.6581633,1.3299651,138.224,97.9739
2.4493101,0.95105557,138.224,97.9739
2.2406341,0.5610718,138.224,97.9739
2.050339,0.216870086,127.74144,97.9739
1.9022858,-0.0759246806,114.4,94.796684
1.8029782,-0.29974669,114.4,94.1915
1.7311068,-0.53174743,114.4,94.1915
1.6723811,-0.85289914,114.4,94.1915
1.6186678,-1.2846159,114.4,94.1915
1.5699101,-1.7668338,114.4,94.1915
1.5433103,-2.2292511,114.4,94.1915
1.5357706,-2.5614565,114.4,94.1915
1.5412588,-2.7439392,114.4,94.1915
1.5515355,-2.8037076,114.06384,94.1915
1.5553208,-2.7938755,113.636,82.45586
1.5531715,-2.7592523,113.636,80.2205
1.5519864,-2.7340789,113.636,80.2205
1.5688966,-2.7423861,113.636,80.2205
1.6295193,-2.7543607,113.636,80.2205
1.7338803,-2.7552155,113.636,80.2205
1.8490382,-2.7633782,113.636,80.2205
1.9921268,-2.7782984,113.636,80.2205
2.1770629,-2.7923911,113.636,80.2205
2.408505,-2.8137849,86.394764,80.2205
2.6725706,-2.848221,130.171279250312,78.120248
2.9518866,-2.8086853,130.171279250312,77.7202
3.2239225,-2.7103576,130.171279250312,77.7202
3.4612306,-2.4222626,130.171279250312,77.7202
3.6117739,-1.8654574,130.171279250312,77.7202
3.6428336,-1.3198549,130.171279250312,77.7202
3.5400294,-0.93620908,130.171279250312,77.7202
3.3256743,-0.74627685,130.171279250312,77.7202
3.0484134,-0.69050598,130.171279250312,77.7202
2.7435422,-0.65141601,70.573304,77.7202
2.4693727,-0.54143372,94.5632,77.804872
2.2542814,-0.35379639,94.5632,77.821
2.1002407,-0.1025939719,94.5632,77.821
1.9923404,0.138207971,94.5632,77.821
1.9226532,0.2520081,94.5632,77.821
1.8724946,0.182016061,94.5632,77.821
1.8333467,-0.0167266685,94.5632,77.821
1.8090027,-0.28172302,94.5632,77.821
1.7969083,-0.63802796,94.5632,77.821
1.8234007,-1.06099874,123.577152,77.821
1.9301753,-1.5272216,160.504,83.118208
2.0987981000000002,-2.0654207,160.504,84.1272
2.2846099,-2.7796782,160.504,84.1272
2.4787448,-3.5045407,160.504,84.1272
2.664865,-4.0123413,160.504,84.1272
2.7839047,-4.2550962,160.504,84.1272
2.8090229,-4.3117958,160.504,84.1272
2.7530854,-4.2696684,160.504,84.1272
2.614377,-4.1942013,160.504,84.1272
2.4474277,-4.1355716,162.18744,84.1272
2.2844213,-4.0718934,164.33,86.29272
2.1338834,-3.9661225,164.33,86.7052
2.0136349,-3.8233549,164.33,86.7052
1.8848357,-3.4389345,164.33,86.7052
1.719333,-2.6408111,164.33,86.7052
1.5623534,-1.8014651,164.33,86.7052
1.4371616,-1.2975829,164.33,86.7052
1.3511809,-1.0825623,164.33,86.7052
1.2973451,-0.96035761,164.33,86.7052
1.2393006,-0.78936156,138.11832,86.7052
1.1569702,-0.54918519,104.758,84.858712
1.0697696,-0.27114254,104.758,84.507
0.9830355,-0.018859839,104.758,84.507
0.89342045,0.152499397,104.758,84.507
0.74471744,0.2604187,104.758,84.507
0.5078003,0.32206729,104.758,84.507
0.26377261,0.32729795,104.758,84.507
0.075756844,0.30365283,104.758,84.507
-0.05558470993,0.34699711,104.758,84.507
-0.17728879,0.45865484,107.50844,84.507
-0.38794243,0.53604735,111.009,86.567016
-0.64191586,0.5721771,111.009,86.9594
-0.89212337,0.59581606,111.009,86.9594
-1.1686738,0.60454716,111.009,86.9594
-1.3974945,0.54978948,111.009,86.9594
-1.5489504,0.37651371,111.009,86.9594
-1.6239439,0.03231197077,111.009,86.9594
-1.644659,-0.53346259,111.009,86.9594
-1.6380521,-1.32008643,111.009,86.9594
-1.6281611,-2.3274534,130.83408,86.9594
-1.6524139,-3.3477872,156.066,87.169316
-1.7134367,-4.2526579,156.066,87.2093
-1.761807,-4.9563787,156.066,87.2093
