Resp1,Resp2,HR1,HR2
3.678943,-2.5509704,83.7989,115.163
3.7043949,-2.8008027,83.7989,115.163
3.7222281,-3.0419379,83.7989,115.163
3.7283174,-3.2487304,83.7989,115.163
3.7283172,-3.3723416,83.7989,115.163
3.7283637,-3.4283326,83.7989,112.43234
3.7297941,-3.45451,83.7989,111.317
3.7331793,-3.4872801,83.7989,111.317
3.7296571,-3.602664,83.7989,111.317
3.7106292,-3.7435151,83.7989,111.317
3.6825589,-3.8235135,22.39309,111.02096
3.6567295,-3.8255768,26.5604,106.383
3.6366239,-3.7830445,26.5604,106.383
3.6177707,-3.7503392,26.5604,106.383
3.6015869,-3.7586303,26.5604,106.383
3.5848729,-3.7806703,26.5604,106.383
3.5720395,-3.8110445,26.5604,106.383
3.5670842,-3.8417688,26.5604,98.023344
3.5704429,-3.8133514,26.5604,96.7742
3.580426,-3.7214416,26.5604,96.7742
3.5913698,-3.6919647,109.545776,96.7742
3.6038083,-3.7700101,85.2273,96.7742
3.6077029,-3.9204104,85.2273,96.7742
3.594653,-4.0856443,85.2273,96.136764
3.576343,-4.2010991,85.2273,95.6938
3.563131,-4.2197383,85.2273,95.6938
3.5573287,-4.0987121,85.2273,95.6938
3.5558406,-3.7395904,85.2273,95.6938
3.5627099,-3.2048647,85.111236,95.6938
3.5731228,-2.63645,85.1064,96.176113
3.5823365,-2.2258206,85.1064,96.9305
3.5880109,-2.1637843,85.1064,96.9305
3.5931363,-2.2130376,85.1064,96.9305
3.5992486,-2.1934017,85.1064,96.9305
3.6070379,-2.1307583,85.1064,96.9305
3.6144503,-1.9920434,83.49828,99.14075
3.6207752,-2.0896236,82.8729,101.351
3.6143836,-2.4649814,82.8729,101.351
3.5940094,-2.8604985,82.8729,101.351
3.5719385,-3.1939787,82.8729,101.351
3.5563206,-3.4145627,82.8729,101.351
3.5479791,-3.5110506,82.8729,103.35036
3.5565028,-3.5551023,82.31226,104.167
3.6016603,-3.6718536,80.5369,104.167
3.670694,-3.8288999,80.5369,104.167
3.7254605,-4.0009463,80.5369,104.167
3.7494325,-4.2037595,80.5369,104.69995
3.7478916,-4.2545413,80.5369,107.72
3.7251339,-4.0712891,80.5369,107.72
3.691751,-3.7552826,80.5369,107.72
3.6575078,-3.4349156,79.263967,107.72
3.62482,-3.1878932,78.637,107.72
3.584396,-3.041443,78.637,109.71944
3.5352508,-2.9852082,78.637,110.497
3.4951112,-2.9984527,78.637,110.497
3.4705023,-3.0479608,78.637,110.497
3.4575657,-3.0958346,78.637,110.497
3.4557192,-3.1206703,78.800345,111.63562
3.4596341,-3.0884333,79.8935,113.208
3.4577148,-3.0185854,79.8935,113.208
3.4439605,-2.9705358,79.8935,113.208
3.4228423,-2.9420071,79.8935,113.208
3.4032588,-2.9235924,79.8935,113.57235
3.386222,-3.0047332,79.8935,114.943
3.3705741,-3.2084533,79.8935,114.943
3.3755892,-3.4829104,78.98398,114.943
3.4137266,-3.7427089,77.6197,114.943
3.4616399,-3.8940887,77.6197,115.14496
3.4867698,-3.8339175,77.6197,117.187
3.4879753,-3.5659424,77.6197,117.187
3.4808858,-3.2988647,77.6197,117.187
3.4721074,-3.2976561,77.6197,117.187
3.4645519,-3.5131194,77.6197,117.61144
3.4631178,-3.7009489,77.134689,120.724
3.4645287,-3.7643275,76.8246,120.724
3.4509701,-3.7483924,76.8246,120.724
3.4141387,-3.7339227,76.8246,120.724
3.3739985,-3.7317026,76.8246,120.95713
3.3501224,-3.7318429,76.8246,121.951
3.3419454,-3.7419225,76.8246,121.951
3.3375856,-3.8162258,76.8246,121.951
3.3436504,-4.0135892,75.945215,121.951
3.3568601,-4.2754669,75.4717,122.1004
3.3577303,-4.5082889,75.4717,122.449
3.3387481,-4.6714112,75.4717,122.449
3.3202151,-4.7741086,75.4717,122.449
3.315509,-4.8379395,75.4717,122.449
3.3253112,-4.8713441,75.4717,122.35189
3.3415075,-4.8800993,75.4717,122.2
3.3656097,-4.8761538,77.294153,122.2
3.3889898,-4.8803194,77.5194,122.2
3.3985171,-4.9004394,77.5194,122.2
3.3858336,-4.9226319,77.5194,122.08297
3.3705556,-4.9419188,77.5194,121.951
3.3668834,-4.9728423,77.5194,121.951
3.3699946,-5.0503395,77.5194,121.951
3.3787933,-5.1286651,79.447914,121.951
3.3955996,-5.1301637,81.3008,121.24588
3.423617,-4.9322139,81.3008,120.482
3.454831,-4.4172148,81.3008,120.482
3.4864136,-3.7812104,81.3008,120.482
3.5086736,-3.113211,81.3008,120.482
3.5133286,-2.3774723,81.3008,119.58362
3.5075445,-1.6647827,83.770123,118.343
3.4894901,-1.07298269,85.9599,118.343
3.4600221,-0.60292053,85.9599,118.343
3.4203765,-0.1635132255,85.9599,118.343
3.3858247,0.231909178,85.9599,118.12724
3.4024109,0.52445981,85.9599,117.647
3.4799618,0.65941166,85.9599,117.647
3.5983522,0.6264557,89.355735,117.647
3.7262843,0.46909486,89.955,117.647
3.8390351,0.28558652,89.955,117.52316
3.9252504,0.113571185,89.955,116.959
3.9811433,0.00798645177,89.955,116.959
4.0087742,-0.261138906,89.955,116.959
4.0075147,-1.01322301,90.750924,116.959
3.9761142,-2.1016789,92.1659,117.11124
3.9145512,-3.4830966,92.1659,118.343
3.8278687,-5.3082401,92.1659,118.343
3.7333101,-7.2070616,92.1659,118.343
3.6501194,-8.6884186,92.1659,118.343
3.5862854,-9.6771151,92.276732,118.343
3.5409091,-10,94.9367,118.343
3.4909819,-10,94.9367,118.343
3.4470523,-10,94.9367,118.343
3.4662506,-10,94.9367,118.343
3.5660005,-10,94.9367,118.343
3.7514863,-10,94.9367,119.04095
4.0416993,-9.9794984,93.63811,119.048
4.3749844,-9.1367858,92.7357,119.048
4.6378903,-7.3346682,92.7357,119.048
4.7699277,-5.3780944,92.7357,119.13456
4.8013508,-3.8949279,92.7357,121.212
4.7981661,-3.1237886,92.7357,121.212
4.7924256,-2.8094604,92.90985,121.212
4.7919771,-2.3669584,93.8967,121.212
4.7881623,-1.7734376,93.8967,121.661
4.7738919,-1.2928441,93.8967,123.457
4.7702269,-1.0643678,93.8967,123.457
4.7791985,-1.0776181,93.8967,123.457
4.7901392,-1.2700164,93.8967,123.457
4.8078307,-1.5350767,91.611062,123.83588
4.8231248,-1.7770995,87.7193,124.481
4.8306968,-1.948035,87.7193,124.481
4.8235737,-2.0358887,87.7193,124.481
4.81004,-2.1166106,87.7193,124.481
4.784613,-2.2234376,87.7193,124.9412
4.7419004,-2.3447782,87.7193,125.261
4.6997677,-2.4584806,87.7193,125.261
4.671051,-2.5679782,82.658243,125.261
4.6457401,-2.6639522,75.9494,125.261
4.6223265,-2.75426,75.9494,125.4706
4.5985901,-2.8727415,75.9494,125.523
4.5812346,-3.0158904,75.9494,125.523
4.5737086,-3.1924809,75.9494,125.523
4.5712392,-3.373508,75.9494,125.523
4.5650275,-3.51275,75.9494,122.92492
4.5641172,-3.6296111,75.9494,122.699
4.5708522,-3.7611117,70.858594,122.699
4.5767705,-3.8751889,70.7547,122.699
4.5744593,-3.9751219,70.7547,122.699
4.5671143,-4.0531954,70.7547,121.27148
4.5533113,-4.0829676,70.7547,121.212
4.5336673,-4.1238373,70.7547,121.212
4.5080742,-4.2091647,70.7547,121.212
4.4803346,-4.310889,70.7547,121.212
4.4551849,-4.3996608,70.7547,119.41896
4.4316314,-4.4548588,70.7547,119.284
4.4018613,-4.4899382,70.7547,119.284
4.3574523,-4.5784731,70.7547,119.284
4.3108398,-4.8880434,70.7547,119.284
4.274588,-5.4408507,70.7547,118.47474
4.239346,-5.9596798,70.7547,118.343
4.2076571,-6.3495667,58.76078,118.343
4.184598,-6.64606,38.3387,118.343
4.1671328,-6.8463867,38.3387,118.343
4.1538334,-6.9829497,38.3387,118.72758
4.1627868,-7.1170596,38.3387,118.812
4.1996218,-7.3125915,38.3387,118.812
4.238312,-7.5630956,38.3387,118.812
4.2568213,-7.814456,38.3387,118.812
4.2439332,-8.0253872,38.3387,119.18488
4.2223846,-8.1855531,38.3387,119.284
4.2061066,-8.2677577,38.3387,119.284
4.1964166,-8.2884874,38.3387,119.284
4.1889462,-8.2878819,38.3387,119.284
