Resp1,Resp2,HR1,HR2
2.7306245,-3.5063271,116.1234,97.8793
2.6460875,-3.5276823,114.723,97.8793
2.6105109,-3.5676792,114.723,97.8793
2.6123024,-3.6023218,114.723,97.8793
2.6432037,-3.6074638,114.723,97.8793
2.6704559,-3.5848272,114.723,97.8793
2.6772214,-3.5501642,112.44096,95.29061
2.6836481,-3.5148779,110.497,93.8967
2.8194186,-3.5041203,110.497,93.8967
3.1763091,-3.5255218,110.497,93.8967
3.6994147,-3.54827,110.497,93.8967
4.2620793,-3.5479866,113.1646,93.8967
4.7598567,-3.5128083,114.943,93.8967
5.1483853,-3.4114441,114.943,90.3614
5.4096254,-3.2714569,114.943,90.3614
5.5271968,-3.214328,114.943,90.3614
5.5266237,-3.2332455,115.45406,90.3614
5.4585087,-3.2943905,116.054,90.3614
5.3617398,-3.3747378,116.054,90.3614
5.2674653,-3.4417234,116.054,89.938664
5.1952237,-3.4721848,116.054,87.7193
5.1929136,-3.4589439,115.899,87.7193
5.3063388,-3.4322669,114.504,87.7193
5.5257788,-3.4701175,114.504,87.7193
5.8098454,-4.1694855,114.504,87.7193
6.1010584,-5.7826962,114.504,87.7193
6.346744,-7.5023132,114.504,87.682151
6.5110684,-2.62628172359398,117.49842,87.5912
6.5840337,-2.62628172359398,118.343,87.5912
6.5727999,-2.62628172359398,118.343,87.5912
6.5169555,-2.62628172359398,118.343,87.5912
6.460254,-2.62628172359398,118.343,87.5912
6.4104091,-2.62628172359398,118.343,87.5912
6.3630768,-2.62628172359398,118.343,94.14335
6.3117378,-8.5931826,118.343,94.4882
6.2544156,-7.8839784999999996,118.343,94.4882
6.2092071,-7.0324983,118.343,94.4882
6.2036471,-6.1199548,118.343,94.4882
6.2340671,-5.3271234,118.343,94.4882
6.2902678,-4.77309,118.343,96.790576
6.3436033,-4.4539216,118.343,97.4026
6.373349,-4.3507818,118.343,97.4026
6.3845623,-4.4838806,118.343,97.4026
6.3968321,-4.7855011,65.02779,97.4026
6.4084742,-5.0834046,123.353217508538,97.4026
6.4080562,-5.2330993,123.353217508538,101.878132
6.3907382,-5.150195,123.353217508538,102.215
6.367602,-4.8200958,123.353217508538,102.215
6.3568003,-4.4141445,123.353217508538,102.215
6.3627526,-4.2284979,123.353217508538,102.215
6.3774721,-4.4304137,123.353217508538,102.215
6.3740174,-4.6682771,123.353217508538,100.8675
6.3387025,-4.7127131,123.353217508538,100.84
6.2865421,-4.6082675,123.353217508538,100.84
6.2273255,-4.4618166,123.353217508538,100.84
6.1659241,-4.3796206,123.353217508538,100.84
6.1081055,-4.3177765,123.353217508538,100.84
6.0592531,-4.2573423,123.353217508538,100.671
6.0238672,-4.2477993,123.353217508538,100.671
6.0022891,-4.3040101,123.353217508538,100.671
5.9621248,-4.5061985,123.353217508538,100.671
5.8756075,-4.6234891,123.353217508538,100.671
5.7393612,-4.4586822,123.353217508538,100.739
5.6022218,-4.2101622,123.353217508538,101.351
5.5220153,-4.0130617,123.353217508538,101.351
5.4945158,-3.8993626,123.353217508538,101.351
5.4847569,-3.8154114,123.353217508538,101.351
