"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",7.547825,113.327,86.8307,4.1725465,2.0677552,-0.827544109269749,0.362117172516699,1.34064890093558,0.85930963137944,"Study1_G3_T1_SelfPaced.csv"
"2","2",7.5494917,113.94734,86.8307,4.3920442,2.1159182,-0.430709884005989,0.380772228274719,1.4035426125845,0.85930963137944,"Study1_G3_T1_SelfPaced.csv"
"3","3",7.5511583,116.281,87.350909,4.5579531,1.8213196,-0.130759908239215,0.266664857279671,1.64014276593045,0.919814973623857,"Study1_G3_T1_SelfPaced.csv"
"4","4",7.552825,116.281,88.7574,4.6560638,1.4963502,0.0466163632414668,0.140793913263516,1.64014276593045,1.08340349154395,"Study1_G3_T1_SelfPaced.csv"
"5","5",7.5544917,116.281,88.7574,4.7059331,1.4755065,0.136776055256217,0.132720487901652,1.64014276593045,1.08340349154395,"Study1_G3_T1_SelfPaced.csv"
"6","6",7.5561583,116.281,88.7574,4.73028,1.7536894,0.180793296434936,0.240469538218857,1.64014276593045,1.08340349154395,"Study1_G3_T1_SelfPaced.csv"
"7","7",7.557825,116.281,88.7574,4.7528991,2.1406376,0.221686813882562,0.390346835033118,1.64014276593045,1.08340349154395,"Study1_G3_T1_SelfPaced.csv"
"8","8",7.5594917,116.281,88.7574,4.7985476,2.4360569,0.30421563824816,0.504772089138864,1.64014276593045,1.08340349154395,"Study1_G3_T1_SelfPaced.csv"
"9","9",7.5611583,116.281,88.7574,4.8650176,2.5651187,0.424388063532261,0.554761813101872,1.64014276593045,1.08340349154395,"Study1_G3_T1_SelfPaced.csv"
"10","10",7.562825,116.281,90.457,4.9293459,2.5581392,0.540688467103847,0.552058431633461,1.64014276593045,1.28108342341481,"Study1_G3_T1_SelfPaced.csv"
"11","11",7.5644917,116.281,91.1854,4.9829134,2.4536526,0.637534207910317,0.511587461200434,1.64014276593045,1.36580339421661,"Study1_G3_T1_SelfPaced.csv"
"12","12",7.5661583,117.11407,91.1854,5.0209413,2.298615,0.706285599086204,0.451536486954861,1.72460429406561,1.36580339421661,"Study1_G3_T1_SelfPaced.csv"
"13","13",7.567825,120.248,91.1854,5.0301418,2.127392,0.722919364677094,0.38521639451761,2.04234051895504,1.36580339421661,"Study1_G3_T1_SelfPaced.csv"
"14","14",7.5694917,120.248,91.1854,5.012869,1.964896,0.691691528548807,0.322276545661535,2.04234051895504,1.36580339421661,"Study1_G3_T1_SelfPaced.csv"
"15","15",7.5711583,120.248,91.1854,5.0041357,1.8368556,0.675902423061615,0.272682442277628,2.04234051895504,1.36580339421661,"Study1_G3_T1_SelfPaced.csv"
"16","16",7.572825,120.248,91.1442,5.0216555,1.7653926,0.707576815366299,0.245002558349398,2.04234051895504,1.36101143540684,"Study1_G3_T1_SelfPaced.csv"
"17","17",7.5744917,120.248,90.3614,5.0479274,1.7472944,0.755074302049335,0.237992552118063,2.04234051895504,1.26996421802127,"Study1_G3_T1_SelfPaced.csv"
"18","18",7.5761583,120.248,90.3614,5.0608446,1.7573394,0.778427562947182,0.241883298854963,2.04234051895504,1.26996421802127,"Study1_G3_T1_SelfPaced.csv"
"19","19",7.577825,120.248,90.3614,5.0446959,1.7473854,0.749232009401441,0.238027799301046,2.04234051895504,1.26996421802127,"Study1_G3_T1_SelfPaced.csv"
"20","20",7.5794917,120.248,90.3614,5.0281323,1.689947,0.719286349954537,0.21578008726792,2.04234051895504,1.26996421802127,"Study1_G3_T1_SelfPaced.csv"
"21","21",7.5811583,120.248,90.3614,5.0296792,1.5831084,0.722083021004213,0.174398112720887,2.04234051895504,1.26996421802127,"Study1_G3_T1_SelfPaced.csv"
"22","22",7.582825,120.45065,90.3614,5.0437716,1.429562,0.747560949183445,0.114924727478208,2.06288636585456,1.26996421802127,"Study1_G3_T1_SelfPaced.csv"
"23","23",7.5844917,121.213,90.9124,5.0498676,1.2689877,0.758582027933738,0.0527292139137514,2.14017788514327,1.33405085161791,"Study1_G3_T1_SelfPaced.csv"
"24","24",7.5861583,121.213,91.4634,5.0337314,1.1500946,0.729409073384778,0.00667814961659848,2.14017788514327,1.39813748521455,"Study1_G3_T1_SelfPaced.csv"
"25","25",7.587825,121.213,91.4634,5.014221,1.0568417,0.69413583604067,-0.0294416529101754,2.14017788514327,1.39813748521455,"Study1_G3_T1_SelfPaced.csv"
"26","26",7.5894917,121.213,91.4634,4.9994325,0.96289362,0.66739941492868,-0.0658307206750337,2.14017788514327,1.39813748521455,"Study1_G3_T1_SelfPaced.csv"
"27","27",7.5911583,121.213,91.4634,4.9879466,0.89457088,0.646633829558277,-0.0922942824182943,2.14017788514327,1.39813748521455,"Study1_G3_T1_SelfPaced.csv"
"28","28",7.592825,121.213,91.4634,4.9686059,0.87892143,0.611667396194471,-0.0983558101954747,2.14017788514327,1.39813748521455,"Study1_G3_T1_SelfPaced.csv"
"29","29",7.5944917,121.213,91.4634,4.9385982,0.90491027,0.557415882937396,-0.0882895091077882,2.14017788514327,1.39813748521455,"Study1_G3_T1_SelfPaced.csv"
"30","30",7.5961583,121.213,90.96453,4.9251562,0.98066708,0.533113825758686,-0.0589464965338272,2.14017788514327,1.34011407522842,"Study1_G3_T1_SelfPaced.csv"
"31","31",7.597825,121.213,90.9091,4.9282311,1.0779173,0.538672998174904,-0.0212784053314591,2.14017788514327,1.33366702967441,"Study1_G3_T1_SelfPaced.csv"
"32","32",7.5994917,120.73546,90.9091,4.940506,1.1317284,0.560865032222142,-0.000435661505277984,2.09176207597277,1.33366702967441,"Study1_G3_T1_SelfPaced.csv"
"33","33",7.6011583,118.939,90.9091,4.938705,1.1331631,0.557608968765895,0.000120043257631897,1.90962641290281,1.33366702967441,"Study1_G3_T1_SelfPaced.csv"
"34","34",7.602825,118.939,90.9091,4.9127721,1.00542015,0.510724366875568,-0.0493588483177244,1.90962641290281,1.33366702967441,"Study1_G3_T1_SelfPaced.csv"
"35","35",7.6044917,118.939,90.9091,4.8745055,0.72631837,0.441541425257144,-0.157463809970081,1.90962641290281,1.33366702967441,"Study1_G3_T1_SelfPaced.csv"
"36","36",7.6061583,118.939,90.72073,4.829733,0.43221434,0.360596338585978,-0.271379618335595,1.90962641290281,1.31175777528131,"Study1_G3_T1_SelfPaced.csv"
"37","37",7.607825,118.939,90.0901,4.7826414,0.178808648,0.275458505239976,-0.369531671024578,1.90962641290281,1.23840940187832,"Study1_G3_T1_SelfPaced.csv"
"38","38",7.6094917,118.939,90.0901,4.7103458,-0.01957091478,0.144753862703955,-0.446370360576981,1.90962641290281,1.23840940187832,"Study1_G3_T1_SelfPaced.csv"
"39","39",7.6111583,118.939,90.0901,4.6063688,-0.1744873,-0.043228208362165,-0.506374384498039,1.90962641290281,1.23840940187832,"Study1_G3_T1_SelfPaced.csv"
"40","40",7.612825,118.939,90.0901,4.5207091,-0.2731049,-0.198094071128955,-0.544572105294544,1.90962641290281,1.23840940187832,"Study1_G3_T1_SelfPaced.csv"
"41","41",7.6144917,118.939,90.0901,4.4774927,-0.37923279,-0.276225853888815,-0.585678799342484,1.90962641290281,1.23840940187832,"Study1_G3_T1_SelfPaced.csv"
"42","42",7.6161583,118.40434,90.0901,4.4700912,-0.58301086,-0.289607171862943,-0.664608501771976,1.85541944274094,1.23840940187832,"Study1_G3_T1_SelfPaced.csv"
"43","43",7.617825,116.393,91.23067,4.4743432,-0.81096802,-0.281919897117825,-0.752903531779237,1.65149798356058,1.37106873342336,"Study1_G3_T1_SelfPaced.csv"
"44","44",7.6194917,116.393,91.7431,4.4748289,-1.00361023,-0.281041790498891,-0.827519962834157,1.65149798356058,1.43066930266823,"Study1_G3_T1_SelfPaced.csv"
"45","45",7.6211583,116.393,91.7431,4.4747865,-1.1436613,-0.281118446295975,-0.8817661792206,1.65149798356058,1.43066930266823,"Study1_G3_T1_SelfPaced.csv"
"46","46",7.622825,116.393,91.7431,4.4865212,-1.2348721,-0.259903050493636,-0.917095011721349,1.65149798356058,1.43066930266823,"Study1_G3_T1_SelfPaced.csv"
"47","47",7.6244917,116.393,91.7431,4.5174992,-1.2847567,-0.203897312710412,-0.936416897701593,1.65149798356058,1.43066930266823,"Study1_G3_T1_SelfPaced.csv"
"48","48",7.6261583,116.393,91.7431,4.553592,-1.3217837,-0.13864442702824,-0.950758627858605,1.65149798356058,1.43066930266823,"Study1_G3_T1_SelfPaced.csv"
"49","49",7.627825,116.393,91.810748,4.5715294,-1.3749689,-0.106215047439086,-0.971358940785571,1.65149798356058,1.43853741989064,"Study1_G3_T1_SelfPaced.csv"
"50","50",7.6294917,116.393,92.1659,4.5534183,-1.4699648,-0.138958462687513,-1.00815386243255,1.65149798356058,1.47984503530826,"Study1_G3_T1_SelfPaced.csv"
"51","51",7.6311583,116.393,92.1659,4.5241454,-1.7299496,-0.191881516517796,-1.10885421208347,1.65149798356058,1.47984503530826,"Study1_G3_T1_SelfPaced.csv"
"52","52",7.632825,116.15906,92.1659,4.4982451,-2.0589084,-0.238707180224518,-1.23627037710831,1.62777977273564,1.47984503530826,"Study1_G3_T1_SelfPaced.csv"
"53","53",7.6344917,115.279,92.1659,4.4647247,-2.3112368,-0.29930937316108,-1.33400516047587,1.5385541224894,1.47984503530826,"Study1_G3_T1_SelfPaced.csv"
"54","54",7.6361583,115.279,92.1659,4.3997832,-2.482306,-0.416718393118767,-1.40026568130056,1.5385541224894,1.47984503530826,"Study1_G3_T1_SelfPaced.csv"
"55","55",7.637825,115.279,92.1659,4.3122531,-2.5859071,-0.574965788971932,-1.44039366952995,1.5385541224894,1.47984503530826,"Study1_G3_T1_SelfPaced.csv"
"56","56",7.6394917,115.279,94.576496,4.234873,-2.5712496,-0.714862799438704,-1.43471635541386,1.5385541224894,1.76022068431284,"Study1_G3_T1_SelfPaced.csv"
"57","57",7.6411583,115.279,94.9367,4.191302,-2.4392519,-0.793635670539254,-1.38358946436824,1.5385541224894,1.80211589623306,"Study1_G3_T1_SelfPaced.csv"
"58","58",7.642825,115.279,94.9367,4.1865844,-2.3114599,-0.802164712716481,-1.33409157417393,1.5385541224894,1.80211589623306,"Study1_G3_T1_SelfPaced.csv"
"59","59",7.6444917,115.279,94.9367,4.1983325,-2.3241885,-0.780925090789595,-1.33902176421029,1.5385541224894,1.80211589623306,"Study1_G3_T1_SelfPaced.csv"
"60","60",7.6461583,115.279,94.9367,4.18826,-2.4567227,-0.799135362395946,-1.39035645870284,1.5385541224894,1.80211589623306,"Study1_G3_T1_SelfPaced.csv"
"61","61",7.647825,115.279,94.9367,4.1630644,-2.6334749,-0.844686985060127,-1.45881818547137,1.5385541224894,1.80211589623306,"Study1_G3_T1_SelfPaced.csv"
"62","62",7.6494917,115.25464,98.910824,4.142142,-2.8317469,-0.882513005080649,-1.53561521255137,1.53608436265484,2.26434498635213,"Study1_G3_T1_SelfPaced.csv"
"63","63",7.6511583,115.163,99.6678,4.130911,-3.1063172,-0.902817751708687,-1.64196498843734,1.52679336137247,2.35238862256528,"Study1_G3_T1_SelfPaced.csv"
"64","64",7.652825,115.163,99.6678,4.1011169,-3.5440461,-0.956683093308763,-1.8115112591513,1.52679336137247,2.35238862256528,"Study1_G3_T1_SelfPaced.csv"
"65","65",7.6544917,115.163,99.6678,4.0342189,-4.2502101,-1.07762930824266,-2.0850309484212,1.52679336137247,2.35238862256528,"Study1_G3_T1_SelfPaced.csv"
"66","66",7.6561583,115.163,99.6678,3.9704808,-4.8781915,-1.19286267758222,-2.32826803979838,1.52679336137247,2.35238862256528,"Study1_G3_T1_SelfPaced.csv"
"67","67",7.657825,115.163,99.86576,3.930337,-5.2197235,-1.26543944614126,-2.46055420351633,1.52679336137247,2.37541328678813,"Study1_G3_T1_SelfPaced.csv"
"68","68",7.6594917,115.163,103.627,3.9091466,-5.2776303,-1.30374998865278,-2.4829833417089,1.52679336137247,2.81288190702228,"Study1_G3_T1_SelfPaced.csv"
"69","69",7.6611583,115.163,103.627,3.8737064,-5.0986051,-1.36782302591099,-2.41364121002917,1.52679336137247,2.81288190702228,"Study1_G3_T1_SelfPaced.csv"
"70","70",7.662825,115.163,103.627,3.7584379,-5.0645753,-1.57621922274957,-2.40046039038683,1.52679336137247,2.81288190702228,"Study1_G3_T1_SelfPaced.csv"
"71","71",7.6644917,115.163,103.627,3.6100497,-5.4813965,-1.84449317908389,-2.56190844651133,1.52679336137247,2.81288190702228,"Study1_G3_T1_SelfPaced.csv"
"72","72",7.6661583,114.75371,103.627,3.4809719,-6.1995995,-2.07785548202261,-2.84009122189029,1.48529713794534,2.81288190702228,"Study1_G3_T1_SelfPaced.csv"
"73","73",7.667825,113.214,104.43841,3.3877871,-6.9868529,-2.2463261216437,-3.1450194047836,1.32919229743375,2.90725674434832,"Study1_G3_T1_SelfPaced.csv"
"74","74",7.6694917,113.214,80.3136573891726,3.3338076,-7.6412262,-2.34391672538408,-3.39847891515586,1.32919229743375,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"75","75",7.6711583,113.214,80.3136573891726,3.3044944,-8.0813719,-2.39691263837999,-3.56896128907676,1.32919229743375,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"76","76",7.672825,113.214,80.3136573891726,3.2824311,0.603117388663352,-2.43680131403473,-0.205183453187445,1.32919229743375,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"77","77",7.6744917,113.214,80.3136573891726,3.2503172,0.603117388663352,-2.49486066785346,-0.205183453187445,1.32919229743375,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"78","78",7.6761583,113.214,80.3136573891726,3.2080779,0.603117388663352,-2.57122593223292,-0.205183453187445,1.32919229743375,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"79","79",7.677825,113.214,80.3136573891726,3.1740505,0.603117388663352,-2.63274474047893,-0.205183453187445,1.32919229743375,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"80","80",7.6794917,113.214,80.3136573891726,3.1469026,0.603117388663352,-2.6818259648564,-0.205183453187445,1.32919229743375,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"81","81",7.6811583,113.214,80.3136573891726,3.1164885,0.603117388663352,-2.73681221669682,-0.205183453187445,1.32919229743375,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"82","82",7.682825,112.77237,80.3136573891726,3.0751646,0.603117388663352,-2.811522511344,-0.205183453187445,1.28441725491591,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"83","83",7.6844917,111.111,80.3136573891726,3.0194033,0.603117388663352,-2.91233446648157,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"84","84",7.6861583,111.111,80.3136573891726,2.968262,0.603117388663352,-3.00479383240878,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"85","85",7.687825,111.111,80.3136573891726,2.9250553,0.603117388663352,-3.08290807834714,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"86","86",7.6894917,111.111,80.3136573891726,2.8896174,0.603117388663352,-3.14697695738995,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"87","87",7.6911583,111.111,80.3136573891726,2.8606968,0.603117388663352,-3.19926308109495,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"88","88",7.692825,111.111,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"89","89",7.6944917,111.111,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"90","90",7.6961583,111.111,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"91","91",7.697825,111.111,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.11597780925358,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"92","92",7.6994917,111.50853,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.15628173482955,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"93","93",7.7011583,113.004,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.30790126437724,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"94","94",7.702825,113.004,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.30790126437724,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"95","95",7.7044917,113.004,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.30790126437724,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
"96","96",7.7061583,113.004,80.3136573891726,4.56519648800058,0.603117388663352,-0.117664444070372,-0.205183453187445,1.30790126437724,0.101314491753724,"Study1_G3_T1_SelfPaced.csv"
