"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",20.986674,115.99,95.9736175535194,6.2347899,3.6216949,1.44113579969994,0.905296733187462,-0.104819984352936,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"2","2",20.988341,115.99,95.9736175535194,6.1928253,3.8811254,1.36858531002585,1.11168990223507,-0.104819984352936,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"3","3",20.990008,115.99,95.9736175535194,6.1385957,4.0566371,1.27483047774268,1.2513204235806,-0.104819984352936,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"4","4",20.991675,115.99,95.9736175535194,6.0764827,4.1641787,1.16744643106699,1.33687648436933,-0.104819984352936,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"5","5",20.993342,115.99,95.9736175535194,6.0062226,4.221368,1.04597727231054,1.38237414506309,-0.104819984352936,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"6","6",20.995009,115.99,95.9736175535194,5.9333378,4.2319427,0.919970401524252,1.39078697950133,-0.104819984352936,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"7","7",20.996676,115.99,95.9736175535194,5.8811891,4.1921448,0.829813132758021,1.35912526392648,-0.104819984352936,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"8","8",20.998342,115.99,95.9736175535194,5.8584589,4.1143738,0.790516031382337,1.29725357516976,-0.104819984352936,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"9","9",21.000008,114.43988,95.9736175535194,5.8582415,4.0125924,0.790140179439147,1.21628011331349,-0.309706303749753,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"10","10",21.001675,113.009,95.9736175535194,5.8648221,3.9008759,0.801517048332198,1.127402658774,-0.498832137039122,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"11","11",21.003341,113.009,95.9736175535194,5.8787813,3.7811154,0.825650408246474,1.03212569973594,-0.498832137039122,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"12","12",21.005007,113.009,95.9736175535194,5.9108644,3.6541384,0.881117268773273,0.931107564142172,-0.498832137039122,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
"13","13",21.006675,113.009,95.9736175535194,5.9515171,3.5482882,0.951399680414847,0.846897117713079,-0.498832137039122,0.000550276477228601,"Study2_G10_T2_TurnTaking.csv"
