"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",23.881977,141.3,151.4481,2.1406437,5.765741,0.839954635074004,-1.13717557954474,0.448049804039828,2.55610682581264,"Study2_G6_T3_Synchronous.csv"
"2","2",23.883643,140.0932,147.783,2.125211,5.6045228,0.835186191383029,-1.71510250834389,0.391573391714246,2.41143654694764,"Study2_G6_T3_Synchronous.csv"
"3","3",23.885308,139.576,147.783,2.1479736,5.4913021,0.842219450395398,-2.12097040308213,0.367369215003283,2.41143654694764,"Study2_G6_T3_Synchronous.csv"
"4","4",23.886976,139.576,147.783,2.1700107,5.4156407,0.849028542159146,-2.39219760032564,0.367369215003283,2.41143654694764,"Study2_G6_T3_Synchronous.csv"
"5","5",23.888643,139.576,147.783,2.1727326,5.3656707,0.849869563294946,-2.57132755359453,0.367369215003283,2.41143654694764,"Study2_G6_T3_Synchronous.csv"
"6","6",23.890308,139.576,147.783,2.1553683,5.3450844,0.844504287822527,-2.64512429077642,0.367369215003283,2.41143654694764,"Study2_G6_T3_Synchronous.csv"
"7","7",23.891974,139.576,108.943986,2.1402127,5.3818912,0.839821463352218,-2.51318111759297,0.367369215003283,0.878367603065671,"Study2_G6_T3_Synchronous.csv"
"8","8",23.893641,139.576,99.8336,2.1590364,5.4947421,0.845637668780031,-2.10863886337341,0.367369215003283,0.518758838451384,"Study2_G6_T3_Synchronous.csv"
"9","9",23.895308,139.576,99.8336,2.2331579,5.658566,0.868539960604573,-1.52137115171989,0.367369215003283,0.518758838451384,"Study2_G6_T3_Synchronous.csv"
"10","10",23.896975,139.576,99.8336,2.3616634,5.8182188,0.908245990057009,-0.949055790438196,0.367369215003283,0.518758838451384,"Study2_G6_T3_Synchronous.csv"
"11","11",23.898641,139.576,99.8336,2.5408299,5.9348388,0.963605413006921,-0.531002255312781,0.367369215003283,0.518758838451384,"Study2_G6_T3_Synchronous.csv"
"12","12",23.900309,101.19486,99.8336,2.7262764,5.9905036,1.02090524990769,-0.331457868226092,-1.42881000952923,0.518758838451384,"Study2_G6_T3_Synchronous.csv"
"13","13",23.901977,84.7458,99.8336,2.889914,6.0027164,1.07146650499113,-0.287678034460187,-2.19860110575745,0.518758838451384,"Study2_G6_T3_Synchronous.csv"
"14","14",23.903642,84.7458,99.8336,3.0534881,5.9924684,1.12200813964689,-0.324414551592459,-2.19860110575745,0.518758838451384,"Study2_G6_T3_Synchronous.csv"
"15","15",23.905308,84.7458,90.233836,3.2027863,5.979053,1.16813876227702,-0.372505405606537,-2.19860110575745,0.1398331515893,"Study2_G6_T3_Synchronous.csv"
"16","16",23.906976,84.7458,71.599,3.2360357,5.971849,1.17841226540082,-0.39832994399655,-2.19860110575745,-0.595728475848864,"Study2_G6_T3_Synchronous.csv"
"17","17",23.908641,84.7458,71.599,3.1525511,5.9717791,1.15261693378914,-0.398580518015631,-2.19860110575745,-0.595728475848864,"Study2_G6_T3_Synchronous.csv"
"18","18",23.910307,84.7458,71.599,3.0341466,5.9717237,1.11603194276307,-0.39877911316094,-2.19860110575745,-0.595728475848864,"Study2_G6_T3_Synchronous.csv"
"19","19",23.911974,84.7458,71.599,2.9292658,5.9649532,1.08362554666489,-0.42304966246266,-2.19860110575745,-0.595728475848864,"Study2_G6_T3_Synchronous.csv"
"20","20",23.913641,84.7458,71.599,2.8331176,5.9546238,1.05391737650097,-0.460077978238037,-2.19860110575745,-0.595728475848864,"Study2_G6_T3_Synchronous.csv"
"21","21",23.915308,84.7458,71.599,2.7111451,5.948427,1.01622993372703,-0.482291956513336,-2.19860110575745,-0.595728475848864,"Study2_G6_T3_Synchronous.csv"
"22","22",23.916975,95.31426,71.599,2.5316096,5.9471891,0.960756496008347,-0.486729518433521,-1.70401318347836,-0.595728475848864,"Study2_G6_T3_Synchronous.csv"
"23","23",23.918642,99.8436,76.7233,2.3154335,5.9512934,0.893961731632404,-0.472016629356042,-1.49204693107304,-0.393460076627032,"Study2_G6_T3_Synchronous.csv"
"24","24",23.920309,99.8436,78.4314,2.1109069,5.9512111,0.830766466033603,-0.472311654274073,-1.49204693107304,-0.326037276886421,"Study2_G6_T3_Synchronous.csv"
"25","25",23.921976,99.8436,78.4314,1.9074338,5.9401893,0.767896714144552,-0.511822050890823,-1.49204693107304,-0.326037276886421,"Study2_G6_T3_Synchronous.csv"
"26","26",23.923642,99.8436,78.4314,1.6735537,5.9171079,0.695631712732638,-0.594563097586447,-1.49204693107304,-0.326037276886421,"Study2_G6_T3_Synchronous.csv"
"27","27",23.925308,99.8436,78.4314,1.4346403,5.8843076,0.62181150661709,-0.712143970234145,-1.49204693107304,-0.326037276886421,"Study2_G6_T3_Synchronous.csv"
