"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",6.9198917,108.206,97.8793,-0.3802124,-3.5063271,-0.0588749768267449,-0.579674496738161,2.08678193519255,0.672483665649858,"Study2_G9_T2_Conversation.csv"
"2","2",6.9215583,108.206,97.8793,-0.83413414,-3.5276823,-0.255009597670314,-0.590491498247154,2.08678193519255,0.672483665649858,"Study2_G9_T2_Conversation.csv"
"3","3",6.923225,108.206,97.8793,-1.4239688,-3.5676792,-0.509870705224879,-0.610751038202529,2.08678193519255,0.672483665649858,"Study2_G9_T2_Conversation.csv"
"4","4",6.9248917,108.206,97.8793,-2.1374478,-3.6023218,-0.818157180212503,-0.628298476600457,2.08678193519255,0.672483665649858,"Study2_G9_T2_Conversation.csv"
"5","5",6.9265583,108.206,97.8793,-2.7441309,-3.6074638,-1.08029831447653,-0.630903042315563,2.08678193519255,0.672483665649858,"Study2_G9_T2_Conversation.csv"
"6","6",6.928225,108.206,97.8793,-3.1569459,-3.5848272,-1.25867116241181,-0.619436976141589,2.08678193519255,0.672483665649858,"Study2_G9_T2_Conversation.csv"
"7","7",6.9298917,108.206,95.29061,-3.3946717,-3.5501642,-1.36138988138688,-0.601879204577463,2.08678193519255,0.23486293917456,"Study2_G9_T2_Conversation.csv"
"8","8",6.9315583,108.206,93.8967,-3.3818881,-3.5148779,-1.35586622759798,-0.58400571426378,2.08678193519255,-0.000778990465985251,"Study2_G9_T2_Conversation.csv"
"9","9",6.933225,106.56575,93.8967,-2.9343692,-3.5041203,-1.16249820391215,-0.578556691288901,1.83101353426988,-0.000778990465985251,"Study2_G9_T2_Conversation.csv"
"10","10",6.9348917,104.561,93.8967,-2.2728879,-3.5255218,-0.876679366571136,-0.58939714503294,1.51840771091994,-0.000778990465985251,"Study2_G9_T2_Conversation.csv"
"11","11",6.9365583,104.561,93.8967,-1.6941591,-3.54827,-0.626616979695254,-0.600919739704349,1.51840771091994,-0.000778990465985251,"Study2_G9_T2_Conversation.csv"
"12","12",6.938225,104.561,93.8967,-1.3470027,-3.5479866,-0.476614494933413,-0.600776189738643,1.51840771091994,-0.000778990465985251,"Study2_G9_T2_Conversation.csv"
"13","13",6.9398917,104.561,93.8967,-1.2874569,-3.5128083,-0.450885405804906,-0.582957404422476,1.51840771091994,-0.000778990465985251,"Study2_G9_T2_Conversation.csv"
"14","14",6.9415583,104.561,90.3614,-1.2971255,-3.4114441,-0.455063102152052,-0.53161362378086,1.51840771091994,-0.598425118163051,"Study2_G9_T2_Conversation.csv"
"15","15",6.943225,104.561,90.3614,-1.1961917,-3.2714569,-0.411450710744448,-0.460706221666169,1.51840771091994,-0.598425118163051,"Study2_G9_T2_Conversation.csv"
"16","16",6.9448917,104.561,90.3614,-0.78547956,-3.214328,-0.233986485623283,-0.43176884821581,1.51840771091994,-0.598425118163051,"Study2_G9_T2_Conversation.csv"
"17","17",6.9465583,104.561,90.3614,0.1317504587,-3.2332455,0.162338576807223,-0.441351087016963,1.51840771091994,-0.598425118163051,"Study2_G9_T2_Conversation.csv"
"18","18",6.948225,104.561,90.3614,1.35957667,-3.2943905,0.692868858117656,-0.472322726583315,1.51840771091994,-0.598425118163051,"Study2_G9_T2_Conversation.csv"
"19","19",6.9498917,101.665835,90.3614,2.4604119,-3.3747378,1.16852772488022,-0.513020864055382,1.06695718663566,-0.598425118163051,"Study2_G9_T2_Conversation.csv"
"20","20",6.9515583,98.1273,89.938664,3.0941443,-3.4417234,1.44235656592733,-0.546950929626333,0.515184323621531,-0.669889076932645,"Study2_G9_T2_Conversation.csv"
"21","21",6.953225,98.1273,87.7193,3.1690192,-3.4721848,1.47470919156319,-0.562380474175952,0.515184323621531,-1.04507486047302,"Study2_G9_T2_Conversation.csv"
"22","22",6.9548917,98.1273,87.7193,3.009594,-3.4589439,1.40582330573867,-0.555673590827615,0.515184323621531,-1.04507486047302,"Study2_G9_T2_Conversation.csv"
"23","23",6.9565583,98.1273,87.7193,2.9003237,-3.4322669,1.35860880382923,-0.542160949913205,0.515184323621531,-1.04507486047302,"Study2_G9_T2_Conversation.csv"
"24","24",6.958225,98.1273,87.7193,2.7903166,-3.4701175,1.3110759386957,-0.561333329348485,0.515184323621531,-1.04507486047302,"Study2_G9_T2_Conversation.csv"
"25","25",6.9598917,98.1273,87.7193,2.6848846,-4.1694855,1.26551992424973,-0.915582632157225,0.515184323621531,-1.04507486047302,"Study2_G9_T2_Conversation.csv"
"26","26",6.9615583,98.1273,87.7193,2.6006961,-5.7826962,1.22914299388528,-1.73271862602397,0.515184323621531,-1.04507486047302,"Study2_G9_T2_Conversation.csv"
"27","27",6.963225,98.1273,87.682151,2.4543914,-7.5023132,1.16592633265612,-2.60375236412474,0.515184323621531,-1.05135493741071,"Study2_G9_T2_Conversation.csv"
"28","28",6.9648917,98.1273,87.5912,2.2496153,-2.62628172359398,1.07744481879136,-0.133907088117967,0.515184323621531,-1.06673029818919,"Study2_G9_T2_Conversation.csv"
"29","29",6.9665583,98.305005,87.5912,2.0842745,-2.62628172359398,1.00600286688579,-0.133907088117967,0.542894321296254,-1.06673029818919,"Study2_G9_T2_Conversation.csv"
"30","30",6.968225,98.5222,87.5912,1.994009,-2.62628172359398,0.967000131264988,-0.133907088117967,0.576762096232025,-1.06673029818919,"Study2_G9_T2_Conversation.csv"
"31","31",6.9698917,98.5222,87.5912,1.9563598,-2.62628172359398,0.950732323587251,-0.133907088117967,0.576762096232025,-1.06673029818919,"Study2_G9_T2_Conversation.csv"
"32","32",6.9715583,98.5222,87.5912,1.8785399,-2.62628172359398,0.917107195650914,-0.133907088117967,0.576762096232025,-1.06673029818919,"Study2_G9_T2_Conversation.csv"
