"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"1","1",13.677292,101.903,100.84,-10,0.96261582,-0.273272116290045,0.56620541937864,1.36881894042826,-1.01841751350402
"2","2",13.67896,101.903,100.84,-10,0.86738281,-0.273272116290045,0.481363294517257,1.36881894042826,-1.01841751350402
"3","3",13.680624,101.903,100.84,-10,0.77236935,-0.273272116290045,0.396716764529052,1.36881894042826,-1.01841751350402
"4","4",13.682292,101.903,100.84,-10,0.68121643,-0.273272116290045,0.315509550558606,1.36881894042826,-1.01841751350402
"5","5",13.683958,96.512804,99.943744,-10,0.5954315,-0.273272116290045,0.23908462455569,0.61582751449684,-1.15562812355126
"6","6",13.685625,95.8466,98.0392,-10,0.5400879,-0.273272116290045,0.189779571386852,0.522761158482842,-1.44720066990162
"7","7",13.687292,95.8466,98.0392,-10,0.54981381,-0.273272116290045,0.19844428618071,0.522761158482842,-1.44720066990162
"8","8",13.68896,95.8466,98.0392,-10,0.61889345,-0.273272116290045,0.259986638378329,0.522761158482842,-1.44720066990162
"9","9",13.690623,95.8466,98.0392,-10,0.70298156,-0.273272116290045,0.334899884614877,0.522761158482842,-1.44720066990162
"10","10",13.692291,95.8466,98.0392,-10,0.79136658,-0.273272116290045,0.413641204486168,0.522761158482842,-1.44720066990162
"11","11",13.693959,95.8466,97.957906,-10,0.88514709,-0.273272116290045,0.497189311796692,0.522761158482842,-1.45964622042868
"12","12",13.695625,95.8466,97.561,-10,0.97598548,-0.273272116290045,0.578116314173147,0.522761158482842,-1.52040979064902
"13","13",13.697292,95.8466,97.561,-10,1.0436149,-0.273272116290045,0.638366680048833,0.522761158482842,-1.52040979064902
"14","14",13.698958,95.8466,97.561,-10,1.0710385,-0.273272116290045,0.662798087765009,0.522761158482842,-1.52040979064902
"15","15",13.700624,92.257052,97.561,-10,1.0502779,-0.273272116290045,0.644302679320004,0.021313925957478,-1.52040979064902
"16","16",13.702291,91.8134,97.561,-10,1.00345136,-0.273272116290045,0.602585388713453,-0.0406626982872301,-1.52040979064902
"17","17",13.70396,91.8134,97.754512,-10,0.95877686,-0.273272116290045,0.562785328764494,-0.0406626982872301,-1.49078443854933
"18","18",13.705625,91.8134,99.1736,-10,0.93322138,-0.273272116290045,0.540018210251149,-0.0406626982872301,-1.27353185648494
"19","19",13.707293,91.8134,99.1736,-10,0.90997626,-0.273272116290045,0.519309368081214,-0.0406626982872301,-1.27353185648494
"20","20",13.708957,91.8134,99.1736,-10,0.85751345,-0.273272116290045,0.472570781570098,-0.0406626982872301,-1.27353185648494
"21","21",13.710624,91.8134,99.1736,-10,0.80047006,-0.273272116290045,0.421751402691949,-0.0406626982872301,-1.27353185648494
"22","22",13.712293,91.8134,99.1736,-10,0.75949394,-0.273272116290045,0.385246192057789,-0.0406626982872301,-1.27353185648494
"23","23",13.713959,91.8134,99.1736,-10,0.73605956,-0.273272116290045,0.364368740069145,-0.0406626982872301,-1.27353185648494
"24","24",13.715625,91.8134,98.050544,-10,0.72619012,-0.273272116290045,0.355576155850795,-0.0406626982872301,-1.44546398176746
"25","25",13.717292,93.018727,98.0392,-10,0.72988584,-0.273272116290045,0.358868635398514,0.12771724493629,-1.44720066990162
"26","26",13.718958,93.1677,98.0392,-10,0.71599434,-0.273272116290045,0.346492838628971,0.148528249154927,-1.44720066990162
"27","27",13.720624,93.1677,98.0392,-10,0.68644713,-0.273272116290045,0.320169528254496,0.148528249154927,-1.44720066990162
