Resp1,Resp2,HR1,HR2
-0.89291077,-0.75815429,92.4499,109.29
-1.3695922,-0.81545106,92.4499,109.29
-1.7387568,-0.84822996,92.4499,109.29
-1.8753143,-0.8444244,92.4499,112.1451
-1.6804598,-0.75566101,92.4499,112.36
-1.14956372,-0.48918459,92.4499,112.36
-0.428680408,-0.0034362601,92.4499,112.36
0.27510072794,0.55214538,92.4499,112.36
0.74964905,0.9857512,93.463978,113.68894
0.95135804,1.2527406,93.75,114.286
0.93127139,1.3405608,93.75,114.286
0.77261043,1.295935,93.75,114.286
0.60700376,1.1604679,93.75,114.286
0.49742127,0.96723318,93.75,115.07344
0.41298218,0.76635743,93.75,115.83
0.30500794,0.59942627,93.75,115.83
0.153198199,0.47447197,93.75,115.83
0.056912232,0.40455932,93.75,115.83
0.165792789,0.36952514,93.635886,116.15472
0.51676324,0.33060303,93.6037,116.732
0.99685671,0.27025147,93.6037,116.732
1.3063073,0.19239504,93.6037,116.732
1.2260407,0.12992246,93.6037,116.732
0.78558643,0.096206633,93.6037,116.732
0.2325378457,0.078265378,93.6037,116.732
-0.259103435,0.075875859,93.6037,116.732
-0.63416747,0.0640564,93.6037,116.732
-0.94530623,0.052099607,93.6037,116.732
-1.2069552,0.0218963637,95.837074,114.386052
-1.4316432,-0.0035919192,96.467,105.175149953764
-1.575879,-0.0092864976,96.467,105.175149953764
-1.6050208,-0.0161804178,96.467,105.175149953764
-1.5664462,-0.037676995,96.467,105.175149953764
-1.5117375,-0.055953982,96.467,105.175149953764
-1.4992683,-0.066284176,96.467,106.403208
-1.5444708,-0.06976928,96.467,115.607
-1.6286744,-0.07939147,96.467,115.607
-1.7180361,-0.111184711,96.467,115.607
-1.7752134,-0.0595337037,98.453816,115.607
-1.7814604,0.20001831,99.0142,116.24458
-1.7828341,0.57228394,99.0142,116.505
-1.8700315,0.85945126,99.0142,116.505
-1.9610625,0.94142155,99.0142,116.505
-1.989511,0.86385809,99.0142,116.505
-1.9525817,0.71664424,99.0142,117.1902
-1.9209536,0.56705325,99.0142,117.647
-1.9591464,0.42396245,99.0142,117.647
-2.073065,0.28087154,99.0142,117.647
-2.204617,0.139462246,100.175464,117.647
-2.22734,0.02329712254,100.503,119.37635
-2.1605289,-0.05059204,100.503,120.482
-2.0558624,-0.096649234,100.503,120.482
-1.9631194,-0.1287751,100.503,120.482
-1.9019041,-0.1394195,100.503,120.482
-1.873709,-0.12126778,100.503,120.63688
-1.8867766,-0.084539815,100.503,120.724
-2.0460604,-0.04795532,100.503,120.724
-2.3646238,-0.021902466,100.503,120.724
-2.7136318,-0.0070343036,101.83914,120.724
-2.9955719,-7.7819838e-4,102.216,121.4002
-3.1351321,-0.00403747559,102.216,121.704
-3.172073,-0.0165771482,102.216,121.704
-3.2091215,-0.032720945,102.216,121.704
-3.4512763,-0.05232544,102.216,121.704
-3.9830779,-0.082434073,102.216,120.79972
-4.4943052,-0.114502014,102.216,120.482
-1.16212411877663,-0.14457399,102.216,120.482
-1.16212411877663,-0.17611383,102.216,120.482
-4.7147918,-0.22771298,87.9224638805172,120.482
-4.5237486,-0.29010628,87.9224638805172,120.12532
-4.3051329,-0.34565435,87.9224638805172,120
-4.1160462,-0.3822906,87.9224638805172,120
-4.0117567,-0.39459206,87.9224638805172,120
-3.9977122,-0.39020384,87.9224638805172,120
-4.0258116,-0.38720096,87.9224638805172,119.03236
-3.9748808,-0.40597224,87.9224638805172,118.577
-3.8214357,-0.45331414,87.9224638805172,118.577
-3.6646454999999998,-0.5479614,87.9224638805172,118.577
-3.5114383,-0.66505126,103.04806,118.577
-3.2177093,-0.76001589,102.834,117.6871
-2.7412929,-0.82048339,102.834,116.959
-2.2118744,-0.86425782,102.834,116.959
-1.7784944,-0.91565551,102.834,116.959
-1.5078036,-0.93895254,102.834,116.959
-1.3994656,-0.93790275,102.834,116.2225
-1.4043976,-0.92274171,102.834,114.504
-1.4728182,-0.90332644,102.834,114.504
-1.5977384,-0.89064326,102.834,114.504
-1.6066742,-0.88978574,100.62348,114.504
-1.3290314,-0.92903743,100,114.504
-0.78165908,-1.03575757,100,110.5821
-0.07026979114,-1.2132357,100,109.89
0.63688357,-1.4801116,100,109.89
1.16680315,-1.7894899,100,109.89
1.4452177,-2.0297699,100,109.89
1.5085355,-2.1788054,100,109.17056
1.426663,-2.2504942,100,106.762
1.3223913,-2.2900393,100,106.762
1.3351955,-2.3759524,97.545262,106.762
1.4156651,-2.4861082,96.8529,106.762
1.3737914,-2.3383419,96.8529,106.762
1.14520814,-1.820804,96.8529,105.06244
0.79877628,-1.06165445,96.8529,102.041
0.44354246,-0.339599592,96.8529,102.041
0.143106125,0.11690368857,96.8529,102.041
-0.0794006424,0.30411073,96.8529,102.041
-0.23204954,0.33201293,96.8529,102.041
-0.32315975,0.27760927,96.8529,105.25801
-0.36319272,0.18229668,95.948802,106.572
-0.35144658,0.06155396592,95.6938,106.572
-0.31866146,-0.04973755289,95.6938,106.572
-0.32250671,-0.12808537,95.6938,106.572
-0.35508724,-0.17151795,95.6938,106.572
-0.38638909,-0.18821729,95.6938,104.2632
-0.41859743,-0.1949493,95.6938,104.167
-0.50993043,-0.21065673,95.6938,104.167
-0.64309998,-0.23660275,95.6938,104.167
-0.73413391,-0.25770886,95.6938,104.167
-0.77043449,-0.26294871,90.667792,104.167
-0.84120788,-0.25826736,89.2502,99.67294
-0.99785156,-0.26938172,89.2502,99.1736
-1.157693,-0.30588987,89.2502,99.1736
-1.191965,-0.35671083,89.2502,99.1736
-1.02672699,-0.40472411,89.2502,99.1736
-0.88993528,-0.44088132,89.2502,99.1736
-0.89349977,-0.4608857,89.2502,97.671536
-0.96139841,-0.45714111,89.2502,97.0874
-1.0381775,-0.45654905,89.2502,97.0874
-1.1095577,-0.48303222,87.070178,97.0874
-1.2113134,-0.51675722,86.4553,97.0874
-1.3413607,-0.52950433,86.4553,97.0874
-1.4813936,-0.51953425,86.4553,97.0874
-1.618015,-0.50462954,86.4553,97.0874
-1.7494292,-0.54270325,86.4553,97.0874
-1.8694797,-0.60546265,86.4553,97.0874
-1.9632505,-0.52559202,86.4553,97.0874
-2.0240297,-0.33125003,86.4553,97.0874
-2.0769009,-0.150042749,86.4553,98.570348
-2.1802582,-0.0377624539,90.217006,99.8336
-2.3435424,0.00198669382,91.278,99.8336
-2.5145572,-0.01624450684,91.278,99.8336
-2.2598236,-0.060781859,91.278,99.8336
-1.6436585,-0.107812557,91.278,99.8336
-1.04561772,-0.13778076,91.278,102.307808
-0.67953182,-0.15958856,91.278,103.27
-0.56669927,-0.19222725,91.278,103.27
-0.63854373,-0.23236384,91.278,103.27
-0.80175778,-0.26712957,91.278,103.27
-0.97360551,-0.2966461,93.55053,103.27
-1.1141571,-0.31520067,94.1915,104.895
-1.2162656,-0.31108387,94.1915,104.895
-1.3017149,-0.28869323,94.1915,104.895
-1.3945007,-0.25060115,94.1915,104.895
-1.5089417,-0.21392218,94.1915,104.895
-1.6815336,-0.20792245,94.1915,105.0054
-1.8911682,-0.25459598,94.1915,105.263
-2.0853057,-0.37542115,94.1915,105.263
-2.234073,-0.4619995,94.1915,105.263
-2.3693636,-0.48085632,96.887726,105.263
-2.5327728,-0.4528229,97.6482,105.263
-2.5637211,-0.42221678,97.6482,107.4252
-2.2668732,-0.42619326,97.6482,108.108
-1.6717198,-0.50137934,97.6482,108.108
-1.03633733,-0.62333984,97.6482,108.108
-0.56012878,-0.73323064,97.6482,108.108
-0.35262144,-0.80483098,97.6482,108.03816
-0.37493587,-0.84473264,97.6482,107.72
-0.49386288,-0.86882635,97.6482,107.72
-0.65059206,-0.88735048,100.141704,107.72
-0.8211029,-0.8953492,100.845,107.72
-0.96591465,-0.89716809,100.845,107.72
-1.0687842,-0.91112055,100.845,107.3738
-1.1386567,-0.97001954,100.845,107.143
