Resp1,Resp2,HR1,HR2
-0.89291077,6.2629487,92.4499,70.305756
-1.3695922,6.3589567,92.4499,75.7655
-1.7387568,6.4334779,92.4499,75.7655
-1.8753143,6.490073,92.4499,75.7655
-1.6804598,6.5237582,92.4499,75.7655
-1.14956372,6.528031,92.4499,75.7655
-0.428680408,6.511142,92.4499,75.7655
0.27510072794,6.49296,92.4499,75.7655
0.74964905,6.4900148,93.463978,75.7655
0.95135804,6.507733,93.75,75.7655
0.93127139,6.530707,93.75,83.777153
0.77261043,6.5409612,93.75,96.3082
0.60700376,6.5319529,93.75,96.3082
0.49742127,6.517791,93.75,96.3082
0.41298218,6.5031126,93.75,96.3082
0.30500794,6.4814851000000004,93.75,96.3082
0.153198199,6.4690658,93.75,96.3082
0.056912232,6.4446538,93.75,96.3082
0.165792789,6.444486,93.635886,96.3082
0.51676324,6.4509953,93.6037,96.3082
0.99685671,6.3795596,93.6037,97.944172
1.3063073,6.2518188,93.6037,100.503
1.2260407,6.2093407,93.6037,100.503
0.78558643,6.2084074,93.6037,100.503
0.2325378457,6.2062465,93.6037,100.503
-0.259103435,6.1898226,93.6037,100.503
-0.63416747,6.1661373,93.6037,100.503
-0.94530623,6.1441119,93.6037,100.503
-1.2069552,6.1269779,95.837074,100.503
-1.4316432,6.1178671,96.467,100.503
-1.575879,6.113157,96.467,89.684595
-1.6050208,6.1105876,96.467,72.7635
-1.5664462,6.1043792,96.467,72.7635
-1.5117375,6.0976473,96.467,72.7635
-1.4992683,6.0975712,96.467,72.7635
-1.5444708,6.0993378,96.467,72.7635
-1.6286744,6.091287,96.467,72.7635
-1.7180361,6.066394,96.467,72.7635
-1.7752134,6.0339451,98.453816,72.7635
-1.7814604,6.0007053,99.0142,72.7635
-1.7828341,5.9750487,99.0142,81.178179
-1.8700315,5.9600345,99.0142,94.3396
-1.9610625,5.9556234,99.0142,94.3396
-1.989511,5.9508848,99.0142,94.3396
-1.9525817,5.9554859,99.0142,94.3396
-1.9209536,5.961505,99.0142,94.3396
-1.9591464,5.9653885,99.0142,94.3396
-2.073065,5.9655133,99.0142,94.3396
-2.204617,5.965901,100.175464,94.3396
-2.22734,5.9699515,100.503,94.3396
-2.1605289,5.9631934,100.503,93.66685
-2.0558624,5.9541209,100.503,92.6146
-1.9631194,5.9476245,100.503,92.6146
-1.9019041,5.9378723,100.503,92.6146
-1.873709,5.9128235,100.503,92.6146
-1.8867766,5.8678312,100.503,92.6146
-2.0460604,5.797577,100.503,92.6146
-2.3646238,5.6949889,100.503,92.6146
-2.7136318,5.5903751,101.83914,92.6146
-2.9955719,5.5055634,102.216,92.6146
-3.1351321,5.4457823,102.216,90.457159
-3.172073,5.3986052,102.216,87.0827
-3.2091215,5.3515594,102.216,87.0827
-3.4512763,5.3045988,102.216,87.0827
-3.9830779,5.2562931,102.216,87.0827
-4.4943052,5.2123353,102.216,87.0827
-1.16212411877663,5.1746213,102.216,87.0827
-1.16212411877663,5.1573883,102.216,87.0827
-4.7147918,5.1496251,87.9224638805172,87.0827
-4.5237486,5.1353847,87.9224638805172,87.0827
-4.3051329,5.1069641,87.9224638805172,85.378478
-4.1160462,5.0729065,87.9224638805172,82.7129
-4.0117567,5.0443604,87.9224638805172,82.7129
-3.9977122,5.0202767,87.9224638805172,82.7129
-4.0258116,5.0010767,87.9224638805172,82.7129
-3.9748808,4.9832798,87.9224638805172,82.7129
-3.8214357,4.9511594,87.9224638805172,82.7129
-3.6646454999999998,4.8990942,87.9224638805172,82.7129
-3.5114383,4.8374845,103.04806,82.7129
-3.2177093,4.7810028,102.834,82.7129
-2.7412929,4.7394837,102.834,82.422077
-2.2118744,4.7150001,102.834,81.9672
-1.7784944,4.7096648,102.834,81.9672
-1.5078036,4.7142712,102.834,81.9672
-1.3994656,4.7124033,102.834,81.9672
-1.4043976,4.7011498,102.834,81.9672
-1.4728182,4.6949932,102.834,81.9672
-1.5977384,4.5627679,102.834,81.9672
-1.6066742,4.1926152,100.62348,81.9672
-1.3290314,4.0041714,100,81.9672
-0.78165908,3.9345307,100,81.9672
-0.07026979114,3.9320468,100,81.9672
0.63688357,3.9544465,100,81.9672
1.16680315,3.9783603,100,81.9672
1.4452177,3.9858674,100,81.9672
1.5085355,3.9428859,100,81.9672
1.426663,3.8654843,100,81.9672
1.3223913,3.8028228,100,81.9672
1.3351955,3.7582977,97.545262,81.9672
1.4156651,3.7127077,96.8529,81.9672
1.3737914,3.645202,96.8529,83.139072
1.14520814,3.5818727,96.8529,84.972
0.79877628,3.5248596,96.8529,84.972
0.44354246,3.470059,96.8529,84.972
0.143106125,3.4066956,96.8529,84.972
-0.0794006424,3.2979247,96.8529,84.972
-0.23204954,3.1298921,96.8529,84.972
-0.32315975,2.9685611,96.8529,84.972
-0.36319272,2.8438845,95.948802,84.972
-0.35144658,2.7561678,95.6938,84.972
-0.31866146,2.7035187,95.6938,87.722475
-0.32250671,2.6641846,95.6938,92.0245
-0.35508724,2.6263394,95.6938,92.0245
-0.38638909,2.5921695,95.6938,92.0245
-0.41859743,2.5668998,95.6938,92.0245
-0.50993043,2.5447452,95.6938,92.0245
-0.64309998,2.5230777,95.6938,92.0245
-0.73413391,2.4848538,95.6938,92.0245
-0.77043449,2.4312899,90.667792,92.0245
-0.84120788,2.3540894,89.2502,92.0245
-0.99785156,2.231058,89.2502,92.136313
-1.157693,2.0450128,89.2502,92.3112
-1.191965,1.8049593,89.2502,92.3112
-1.02672699,1.5034908,89.2502,92.3112
-0.88993528,1.1617436,89.2502,92.3112
-0.89349977,0.90072934,89.2502,92.3112
-0.96139841,0.7815735,89.2502,92.3112
-1.0381775,0.76028754,89.2502,92.3112
-1.1095577,0.71965331,87.070178,92.3112
-1.2113134,0.6824036,86.4553,92.3112
-1.3413607,0.73433837,86.4553,92.872332
-1.4813936,0.84777223,86.4553,93.75
-1.618015,0.9447723,86.4553,93.75
-1.7494292,0.98388372,86.4553,93.75
-1.8694797,0.96597292,86.4553,93.75
-1.9632505,0.91843875,86.4553,93.75
-2.0240297,0.86133112,86.4553,93.75
-2.0769009,0.78367921,86.4553,93.75
