Resp1,Resp2,HR1,HR2
3.3799405,-10,116.512,78.534
3.3511928,-10,116.6937,78.570218
3.3415088,-10,117.302,79.0514
3.3649684,-10,117.302,79.0514
3.4190098,-10,117.302,79.0514
3.4854188,-10,117.302,79.0514
3.554266,-10,117.302,79.0514
3.6482572,-10,117.302,79.0514
3.7927737,-10,117.302,79.0514
3.9554044,-10,117.302,79.72565
4.0832609,-10,117.302,80.2139
4.134594,-10,116.91215,80.2139
4.1234862,-10,115.607,80.2139
4.095743,-10,115.607,80.2139
4.0730317,-10,115.607,80.2139
4.0433536,-10,115.607,80.2139
3.9650053,-10,115.607,88.314212
3.8390621,-10,115.607,89.4188
3.7091859,-10,115.607,89.4188
3.6075161,-10,115.607,89.4188
3.5386235,-10,115.607,89.4188
3.482434,-10,115.86575,89.4188
3.4327023,-10,116.732,95.087298
3.397715,-10,116.732,97.4026
3.3811341,-10,116.732,97.4026
3.3783053,-10,116.732,97.4026
3.3624666,-10,116.732,97.4026
3.3270899,-10,116.732,97.4026
3.3000147,-10,116.732,98.58917
3.3033351,-10,116.732,99.1736
3.333722,-10,116.732,99.1736
3.3739468,-10,116.29523,99.1736
3.4102207,-10,114.833,99.1736
3.4642609,-10,114.833,99.1736
3.5410127,-10,114.833,98.417676
3.6188812,-10,114.833,97.7199
3.6703822,-10,114.833,97.7199
3.6760596,-10,114.833,97.7199
3.6534669,-10,114.833,97.7199
3.6176149,-10,114.833,97.7199
3.5715854,-10,114.833,97.407819
3.5232453,-10,114.21614,96.7742
3.4659183,-10,112.151,96.7742
3.4085446,-10,112.151,96.7742
3.3626098,-10,112.151,96.7742
3.3237496,-10,112.151,96.7742
3.3043723,-10,112.151,96.794519
3.3072193,-10,112.151,96.9305
3.3210874,-10,112.151,96.9305
3.3593444,-10,112.151,96.9305
3.4231814,-10,112.151,96.9305
3.5255528,-10,112.29705,96.9305
3.681375,-10,112.786,96.987708
3.8483767,-10,112.786,98.3607
3.9929534,-10,112.786,98.3607
4.0966855,-10,112.786,98.3607
4.1633541,-10,112.786,98.3607
4.2353426,-10,112.786,98.3607
4.3079987,-10,112.786,98.469078
4.354016,-10,112.786,100.167
4.3785889,-10,112.786,100.167
4.3987945,-10,113.05625,100.167
4.4136381,-10,113.961,100.167
4.4145323,-10,113.961,100.167
4.3977847,-10,113.961,100.24287
4.3681393,-10,113.961,101.01
4.3393861,-10,113.961,101.01
4.3281031,-10,113.961,101.01
4.328208,-10,113.961,101.01
4.2974393,-10,113.961,101.01
4.255923,-10,113.961,101.4771
4.2203831,-10,113.68983,102.74
4.2000611,-10,112.782,102.74
4.1831238,-10,112.782,102.74
4.1356718,-10,112.782,102.74
4.0623445,-10,112.782,102.74
3.9887325,-10,112.782,103.07276
3.9072025,-10,112.782,103.448
3.8817349,-10,112.782,103.448
3.9061225999999998,-10,112.782,103.448
3.9061805,-10,112.782,103.448
3.8903619,-10,111.40499,103.448
3.8803125,-10,106.795,102.89992
3.8886593,-10,106.795,102.564
3.9024635,-10,106.795,102.564
3.9069963,-10,106.795,102.564
3.8766173,-10,106.795,102.564
3.802371,-10,106.795,102.564
3.7261656,-10,106.795,101.33355
3.6718104,-10,106.795,100.671
3.6381319,-10,106.795,100.671
3.5959656,-10,106.72209,100.671
3.5356571,-10,106.478,100.671
3.4776297,-10,106.478,100.671
3.4307858,-10,106.478,100.135064
3.3864045,-10,106.478,99.8336
3.3347535,-10,106.478,99.8336
3.282727,-10,106.478,99.8336
3.2405118,-10,106.478,99.8336
3.2172701,-10,106.478,99.8336
3.2181699,-10,106.478,99.940096
3.2304018,-10,106.28503,100
3.2445655,-10,105.639,100
3.238248,-10,105.639,100
3.1984466,-10,105.639,100
3.1287685,-10,105.639,100
3.0351346,-10,105.639,100.45628
2.9170102,-10,105.639,100.671
2.7920684,-10,105.639,100.671
2.6891204,-10,105.639,100.671
2.6478625,-10,105.639,100.671
2.691397,-10,105.34207,100.671
2.8308745,-10,104.348,100.4351
3.0363281,-10,104.348,100.334
3.2376642,-10,104.348,100.334
3.4222777,-10,104.348,100.334
3.6314455,-10,104.348,100.334
3.852164,-10,104.348,101.17412
4.0413452,-10,104.348,107.335
4.1596678,-10,104.348,107.335
4.2033044,-10,104.348,107.335
4.1759333,-10,104.99361,107.335
4.0549657,-10,107.155,107.335
3.8693669,-10,107.155,106.6684
3.6880345,-10,107.155,105.82
3.554587,-10,107.155,105.82
3.4970308,-10,107.155,105.82
3.5416808,-10,107.155,105.82
3.7016477,-10,107.155,105.82
3.9320616,-10,107.155,103.45143
4.1440523,-10,107.155,101.351
4.2988837,-10,108.35422,101.351
4.3955751,-10,112.369,101.351
4.4396004,-10,112.369,101.351
4.4402198,-10,112.369,101.351
4.3953796,-10,112.369,99.972964
4.3075042,NA,112.369,95.0872
4.1972563,NA,112.369,95.0872
4.1026952,NA,112.369,95.0872
4.0395964,NA,112.369,95.0872
4.0019836,NA,112.369,95.0872
3.9620728,NA,112.24664,96.745584
3.921585,NA,111.837,101.01
3.8977705,NA,111.837,101.01
