Resp1,Resp2,HR1,HR2
1.5419762,4.1694515,66.0793,122.699
1.608792,4.1280123,66.0793,122.699
1.7233001,4.0948796,66.0793,124.67786
1.8094542,4.0816295,66.0793,125
1.8258061,4.0231382,66.0793,125
1.7631465,3.9188352,63.466411,125
1.6681151,3.799664,62.5,125.222
1.5752433,3.6704164,62.5,126.85
1.5052604,3.5558504,62.5,126.85
1.5298916,3.562637,62.5,126.85
1.7256956,3.4211093,62.5,126.85
2.0538638,2.9008032,62.5,127.3369
2.4327457,2.2211517,62.5,127.932
2.7522612,1.8091824,62.5,127.932
2.9799008,1.8267422,62.5,127.932
3.1264956,2.0338467,16.875,127.932
3.225781,2.2772218,0,130.18947
3.2619939,2.5783538,0,130.719
3.2286654,2.9412445,0,130.719
3.1972189,3.3085359,0,130.719
3.1905637,3.656949,0,131.30754
3.1694187,3.9783115,0,132.45
3.1191679,4.2607972,0,132.45
3.0330444,4.4771269,0,132.45
2.9239103,4.603827,0,132.45
2.8028288,4.6319463,19.466691,132.45
2.6826171,4.5579221,26.6667,132.45
2.5856387,4.3927794,26.6667,132.45
2.5159817,4.1916533,26.6667,132.45
2.4700834,4.0002472,26.6667,132.45
2.4432043,3.8422823,26.6667,132.45
2.4304109,3.7267245,26.6667,132.45
2.4232111,3.6644782,26.6667,132.45
2.4065497,3.6648312,26.6667,132.45
2.3852079,3.7192414,26.6667,131.65029
2.3731024,3.8163517,98.973419,131.291
2.3714644,3.9394319,125.717,131.291
2.3770283,4.0731962,125.717,131.291
2.3839683,4.2136265999999996,125.717,131.291
2.3929576,4.349655,125.717,125.9243
2.4002016,4.4469821,125.717,125.261
2.3964278,4.5144869,125.717,125.261
2.392527,4.6061189,125.717,125.261
2.3910892,4.7465061,125.717,125.261
2.3910978,4.9246918,125.717,120.44024
2.3885153,5.0863808,90.459752,119.522
2.3887656,5.0817143,77.4194,119.522
2.3952304,4.8517245,77.4194,119.522
2.4079953,4.5108337,77.4194,119.522
2.404358,4.2015839,77.4194,115.5836
2.3843289,3.9714297,77.4194,111.317
2.3633854,3.8295018,77.4194,111.317
2.3489744,3.7415132,77.4194,111.317
2.3488099,3.6555909,77.4194,111.317
2.3548392,3.5384883,77.4194,111.317
2.3580877,3.4541285,73.481488,106.201253
2.3644933,3.4490721,72.025,98.199700000000007
2.3583257,3.4281075,72.025,98.199700000000007
2.3372498,3.4208754,72.025,98.199700000000007
2.3143061,3.2585365,72.025,98.199700000000007
2.2971073,2.960416,72.025,98.199700000000007
2.2858404,2.7595466,72.025,98.804243
2.2804479,2.5868131,72.025,99.8336
2.281996,2.3248017,72.025,99.8336
2.2770902,2.0318237,72.025,99.8336
2.2545683,1.8373663,67.315624,99.8336
2.2115571,1.8040137,65.5738,99.8336
2.165869,1.9902037,65.5738,101.893808
2.1433161,2.3534819,65.5738,103.448
2.1476705,2.7925936,65.5738,103.448
2.1670809,3.1891812,65.5738,103.448
2.1824369,3.279064,65.5738,103.448
2.1868155,3.3766047,65.5738,103.448
2.19062,3.538113,65.5738,107.914
2.1906317,3.5368922,65.5738,107.914
2.1817078,3.4694372,65.836819,107.914
2.1482632,3.5231597,65.9341,107.914
2.1045073,3.6835692,65.9341,107.914
2.0687809,3.9175599,65.9341,107.82864
2.0460421,4.1141876,65.9341,107.72
2.0354613,4.1442025,65.9341,107.72
2.0316618,3.9665073,65.9341,107.72
2.0171545,3.6569792,65.9341,107.72
1.9684813,3.3639611,65.9341,107.72
1.8899475,3.3473412,65.9341,107.72
1.7758423,3.3475001,64.299046,107.72
1.6297156,3.1698693,63.6943,107.72
1.4810305,2.7014439,63.6943,107.72
1.3527033,2.8259462,63.6943,107.72
1.249023,3.1404936,63.6943,105.448974567264
1.1757171,3.4698361,63.6943,105.448974567264
1.1311251,3.687494,63.6943,105.448974567264
1.1082149,3.6826591,63.6943,105.448974567264
1.1150118,3.4612549,63.6943,105.448974567264
1.1373385,3.1976837,63.6943,84.070776
1.1486515,3.2032564,62.305621,114.286
1.1475307,3.5702063,61.792,114.286
1.1387752,4.1615382,61.792,114.286
1.123304,4.7759825,61.792,114.286
1.1031282,5.2238522,61.792,115.21548
1.0808378,5.3778843,61.792,116.732
1.0592314,5.130755,61.792,116.732
1.0473422,4.5296536,61.792,116.732
1.0503967,3.8423368,61.792,116.732
1.0691738,3.1901885,61.792,117.82208
1.1011933,2.6126924,61.978588,119.76
1.1490969,2.0750005,62.0476,119.76
1.1967833,1.5947512,62.0476,119.76
1.2257352,1.2580235,62.0476,119.76
1.2279802,1.0908998,62.0476,120.23112
1.2081121,1.1235198,62.0476,120.968
1.1830441,1.3478087,62.0476,120.968
1.1612615,1.7116853,62.0476,120.968
1.145068,2.1447691,62.0476,120.968
1.1095217,2.6615842,62.0476,123.71552
1.0599148,3.3128026,62.568747,125.261
1.01319597,4.0176029,62.7615,125.261
0.97993774,4.6632841,62.7615,125.261
0.96708697,5.1807676,62.7615,125.261
0.98110966,5.550705,62.7615,125.261
1.02164017,5.7972686,62.7615,125.261
1.0987947,5.9250819,62.7615,125.261
1.3237151,5.9585752,62.7615,125.261
1.686417,5.9084476,62.7615,125.38812
2.0712463,5.8184361000000004,62.7615,126.85
2.3676206,5.6655794,60.269061,126.85
2.5212949,5.5570223,59.3472,126.85
2.5457621,5.5006959,59.3472,126.85
2.490265,5.4643893,59.3472,127.174
2.3836154,5.4381749,59.3472,127.66
2.2663791,5.4143793,59.3472,127.66
2.2207515,5.397797,59.3472,127.66
2.2306546,5.3700525,59.3472,127.66
2.238096,5.3129084,59.3472,127.66
2.2364111,5.2177003,59.3472,127.66
2.2131317,5.0810363,66.54281,127.66
2.15625,4.9135869,69.2042,127.66
2.0575258,4.7004549,69.2042,127.66
1.9284488,4.4498323,69.2042,127.39713
1.7959441,4.2184543,69.2042,127.389
1.6920499,4.0243716,69.2042,127.389
1.6211333,3.8390321,69.2042,127.389
1.5767149,3.6245788,69.2042,127.389
1.6078245,3.4290955,69.2042,127.389
1.752978,3.3208373,69.2042,127.389
1.9798885,3.3242254,69.497222,127.389
2.2032902,3.4325192,69.6056,127.389
2.3621488,3.5840753,69.6056,127.53805
2.4326724,3.7397188,69.6056,127.66
2.4191193,3.8590457,69.6056,127.66
2.3447509,3.923523,69.6056,127.66
2.2264067,3.9410221,69.6056,127.66
2.0967833,3.9260287,69.6056,126.9796
1.9837737,3.8797914,69.6056,126.85
1.8982697,3.7853244,69.6056,126.85
1.8359678,3.6748047,66.093716,126.85
1.7945189,3.5685552,64.7948,126.78644
1.776737,3.4687593,64.7948,125.261
1.7892245,3.3613593,64.7948,125.261
1.8207643,3.2291539,64.7948,125.261
1.8281427,3.1239077,64.7948,125.261
1.8100162,3.0459073,64.7948,125.48981
1.7740176,2.9469666,64.7948,126.05
1.7269838,2.774866,64.7948,126.05
1.6610051,2.5338936,64.7948,126.05
1.5655944,2.2611146,63.648408,126.05
