Resp1,Resp2,HR1,HR2
6.2347899,2.5911804,115.99,118.11
6.1928253,2.301407,115.99,118.11
6.1385957,2.0405084000000002,115.99,118.11
6.0764827,1.8088752,115.99,118.11
6.0062226,1.7100163,115.99,118.11
5.9333378,1.8635557,115.99,118.11
5.8811891,2.2300142,115.99,118.11
5.8584589,2.6916502,115.99,112.878574808413
5.8582415,3.1147548,114.43988,112.878574808413
5.8648221,3.369421,113.009,112.878574808413
5.8787813,3.4296637,113.009,112.878574808413
5.9108644,3.3274319,113.009,112.878574808413
5.9515171,3.1143919,113.009,127.389
6.0011353,2.8311432,113.009,127.389
6.1038815,2.5364253,113.009,127.389
6.2173491,2.2445471,113.009,127.389
6.2892089,1.9806304,113.009,127.389
6.2927677,1.7738004,113.009,127.389
6.2106474,1.6158478,112.89096,117.011089
6.0543214,1.4696866,112.782,91.6031
5.8352815,1.3476379,112.782,91.6031
5.5594145,1.2640717,112.782,91.6031
5.2871427,1.2213649,112.782,91.6031
5.0931611,1.2633825,112.782,91.6031
5.0045441,1.4047824,112.782,91.6031
4.9820291,1.588635,112.782,92.611442
4.9699519,1.8386081,112.782,93.0233
4.9474889,2.1744842,112.782,93.0233
4.9284234,2.5592373,111.80804,93.0233
4.9149838,2.9406283,110.909,120.366468
4.8936742,3.2874753,110.909,135.747
4.8712378,3.5667053,110.909,135.747
4.8711794,3.6986788,110.909,135.747
4.9175018,3.6708616,110.909,135.747
5.0283724,3.4917538,110.909,129.43914
5.144037,3.1834443,110.909,127.66
5.232272,2.8073243,110.909,127.66
5.2398586,2.4067202,110.909,136.7152
5.1278687,2.0164153,110.8024,160
4.9976169,1.6374175,110.704,160
4.9426557,1.2503415,110.704,160
4.9445959,0.86643376,110.704,160
4.9440225,0.52498168,110.704,160
4.895911,0.20994567,110.704,142.20508
4.8307714,-0.10408627063,110.704,133.038
4.8265073,-0.37413939,110.704,133.038
4.8994297,-0.52088014,110.704,133.038
4.9922121,-0.39826356,110.704,132.00988
5.0598393,-0.0101196735,112.02688,107.335
5.0986449,0.49884032,113.248,107.335
5.1339908,1.01232327,113.248,107.335
5.2064726,1.4656554,113.248,107.335
5.3032654,1.8816619,113.248,107.335
5.4037294,2.2822635,113.248,110.54873
5.4904602,2.6660278,113.248,112.782
5.5589594,2.9700312,113.248,112.782
5.5921562,3.1362185,113.248,112.782
5.609085,3.1508054,113.248,112.782
5.6079836,3.0566161,117.33104,112.19973
5.5782288,2.8652619,121.1,108.303
5.5435149,2.5954315,121.1,108.303
5.5178497,2.2898463,121.1,108.303
5.4995271,1.9734624,121.1,108.303
5.4941538,1.6708405,121.1,108.303
5.4806487,1.3914643,121.1,108.303
5.4542787,1.10722965,121.1,108.303
5.4302367,0.75940246,121.1,108.303
5.3990051,0.295172101,121.1,108.303
5.3214509,-0.2278717482,123.19768,108.303
5.2469451,3.43218395761753,125.134,108.303
5.2110837,3.43218395761753,125.134,102.289726
5.1863679,-0.55111995,125.134,99.8336
5.1818608,0.0284240777,125.134,99.8336
5.2015623,0.69656374,125.134,99.8336
5.228208,1.3135771,125.134,99.8336
5.252851,1.8542149,125.134,99.8336
5.2658808,2.2896761,125.134,99.151672
5.2614015,2.58562,125.134,98.5222
5.2590243,2.7284993,126.09652,98.5222
5.2801907,2.6681855,126.985,98.5222
5.2899167,2.4566676,126.985,98.5222
5.2765745,2.2190186,126.985,98.5222
5.2621561,2.0231506,126.985,98.5222
5.2564603,1.877432,126.985,92.433392
5.2563261,1.7708896,126.985,91.6031
5.2538727,1.6793947,126.985,91.6031
5.2457914,1.5343111,126.985,91.6031
5.2370206,1.346533,126.985,91.6031
5.2262574,1.1636377,127.26528,91.6031
5.2184367,0.94661869,127.524,91.193079
5.2055389,0.682724,127.524,89.8204
5.1870489,0.49703981,127.524,89.8204
5.192172,0.50773618,127.524,89.8204
5.2150611,0.7531677,127.524,89.8204
5.2585999,1.14931009,127.524,89.8204
5.3211917,1.6131165,127.524,89.8204
5.3779967,2.0858618,127.524,90.872193
5.4205329,2.5242126,127.524,91.6031
5.4512029,2.9021879,126.53392,91.6031
5.4662224,3.1800631,125.62,91.6031
5.4499299,3.3140103,125.62,91.6031
5.3962405,3.3195676,125.62,91.6031
5.3435028,3.2173675,125.62,93.1298
5.3131679,2.9736635,125.62,95.2381
5.2822387,2.6247195,125.62,95.2381
5.1978332,2.2602665,125.62,95.2381
5.0704712,1.920517,125.62,95.2381
4.9480313,1.6619934,125.62,95.2381
4.8532687,1.4744532,122.40952,95.311012
4.7981539,1.3169771,119.446,95.6938
4.7790649,1.2847203,119.446,95.6938
4.7958805,1.4666875,119.446,95.6938
4.8559874,1.8438593,119.446,95.6938
4.9529965,2.3514224,119.446,95.6938
5.0780764,2.9107943,119.446,96.25016
5.2057405,3.457742,119.446,99.6678
5.3053673,3.9649571,119.446,99.6678
5.374338,4.358291,119.446,99.6678
5.4187806,4.5634244,113.55024,99.6678
5.4453372,4.5783568,108.108,99.6678
5.4642484,4.4539277,108.108,100.86662
5.476055,4.2228365,108.108,103.093
5.481302,3.9325498,108.108,103.093
5.4780694,3.6165404,108.108,103.093
5.4765239,3.2614409,108.108,103.093
5.4763957,2.8769625,108.108,103.093
5.4771716,2.5437316,108.108,102.6275
5.4812622,2.4669861,108.108,101.868
5.4813539,2.7257173,108.11684,101.868
5.4800747,3.1164945,108.125,101.868
5.4589265,3.4676087,108.125,101.868
5.3701993,3.7668362,108.125,101.868
5.1987795,4.0079314,108.125,102.75126
4.9995451,4.1538144,108.125,103.27
4.8344758,4.2031302,108.125,103.27
4.7270607,4.1827147,108.125,103.27
4.6756869,4.1240874,108.125,103.27
4.6686043,4.0417173,108.125,103.27
4.6809969,3.9209654,106.5,104.2528
4.7014528,3.7956363,105,104.53
4.7289094,3.6932037,105,104.53
4.7578038,3.5907833,105,104.53
4.7748072,3.4515505,105,104.53
4.7683403,3.2990598,105,104.53
4.7389283,3.1405149,105,100.156075
4.6827332,3.0000762,105,99.5025
4.5712097,2.91593,105,99.5025
4.4486543,2.8663823,105,99.5025
4.3529909,2.811804,103.37188,99.5025
4.2433777,2.7544429,101.869,99.5025
4.0953276,2.7865993,101.869,104.22835
3.9737367,3.1765595,101.869,104.53
3.922528,3.8472473,101.869,104.53
3.9279263,4.5032743,101.869,104.53
3.9560301,4.9579381,101.869,104.53
3.9957518,5.2232607,101.869,106.98245
4.0407376,5.3412442,101.869,108.303
4.0881378,5.3620096,101.869,108.303
4.1288334,5.3336519,103.15808,108.303
4.1889222,5.2962611,104.348,108.303
4.2700807,5.2719584,104.348,109.49557
4.3651093,5.2499233,104.348,112.15
