Resp1,Resp2,HR1,HR2
3.678943,2.5911804,83.7989,118.11
3.7043949,2.301407,83.7989,118.11
3.7222281,2.0405084000000002,83.7989,118.11
3.7283174,1.8088752,83.7989,118.11
3.7283172,1.7100163,83.7989,118.11
3.7283637,1.8635557,83.7989,118.11
3.7297941,2.2300142,83.7989,118.11
3.7331793,2.6916502,83.7989,112.878574808413
3.7296571,3.1147548,83.7989,112.878574808413
3.7106292,3.369421,83.7989,112.878574808413
3.6825589,3.4296637,22.39309,112.878574808413
3.6567295,3.3274319,26.5604,112.878574808413
3.6366239,3.1143919,26.5604,127.389
3.6177707,2.8311432,26.5604,127.389
3.6015869,2.5364253,26.5604,127.389
3.5848729,2.2445471,26.5604,127.389
3.5720395,1.9806304,26.5604,127.389
3.5670842,1.7738004,26.5604,127.389
3.5704429,1.6158478,26.5604,117.011089
3.580426,1.4696866,26.5604,91.6031
3.5913698,1.3476379,109.545776,91.6031
3.6038083,1.2640717,85.2273,91.6031
3.6077029,1.2213649,85.2273,91.6031
3.594653,1.2633825,85.2273,91.6031
3.576343,1.4047824,85.2273,91.6031
3.563131,1.588635,85.2273,92.611442
3.5573287,1.8386081,85.2273,93.0233
3.5558406,2.1744842,85.2273,93.0233
3.5627099,2.5592373,85.111236,93.0233
3.5731228,2.9406283,85.1064,120.366468
3.5823365,3.2874753,85.1064,135.747
3.5880109,3.5667053,85.1064,135.747
3.5931363,3.6986788,85.1064,135.747
3.5992486,3.6708616,85.1064,135.747
3.6070379,3.4917538,85.1064,129.43914
3.6144503,3.1834443,83.49828,127.66
3.6207752,2.8073243,82.8729,127.66
3.6143836,2.4067202,82.8729,136.7152
3.5940094,2.0164153,82.8729,160
3.5719385,1.6374175,82.8729,160
3.5563206,1.2503415,82.8729,160
3.5479791,0.86643376,82.8729,160
3.5565028,0.52498168,82.31226,160
3.6016603,0.20994567,80.5369,142.20508
3.670694,-0.10408627063,80.5369,133.038
3.7254605,-0.37413939,80.5369,133.038
3.7494325,-0.52088014,80.5369,133.038
3.7478916,-0.39826356,80.5369,132.00988
3.7251339,-0.0101196735,80.5369,107.335
3.691751,0.49884032,80.5369,107.335
3.6575078,1.01232327,79.263967,107.335
3.62482,1.4656554,78.637,107.335
3.584396,1.8816619,78.637,107.335
3.5352508,2.2822635,78.637,110.54873
3.4951112,2.6660278,78.637,112.782
3.4705023,2.9700312,78.637,112.782
3.4575657,3.1362185,78.637,112.782
3.4557192,3.1508054,78.800345,112.782
3.4596341,3.0566161,79.8935,112.19973
3.4577148,2.8652619,79.8935,108.303
3.4439605,2.5954315,79.8935,108.303
3.4228423,2.2898463,79.8935,108.303
3.4032588,1.9734624,79.8935,108.303
3.386222,1.6708405,79.8935,108.303
3.3705741,1.3914643,79.8935,108.303
3.3755892,1.10722965,78.98398,108.303
3.4137266,0.75940246,77.6197,108.303
3.4616399,0.295172101,77.6197,108.303
3.4867698,-0.2278717482,77.6197,108.303
3.4879753,3.43218395761753,77.6197,108.303
3.4808858,3.43218395761753,77.6197,102.289726
3.4721074,-0.55111995,77.6197,99.8336
3.4645519,0.0284240777,77.6197,99.8336
3.4631178,0.69656374,77.134689,99.8336
3.4645287,1.3135771,76.8246,99.8336
3.4509701,1.8542149,76.8246,99.8336
3.4141387,2.2896761,76.8246,99.151672
3.3739985,2.58562,76.8246,98.5222
3.3501224,2.7284993,76.8246,98.5222
3.3419454,2.6681855,76.8246,98.5222
3.3375856,2.4566676,76.8246,98.5222
3.3436504,2.2190186,75.945215,98.5222
3.3568601,2.0231506,75.4717,98.5222
3.3577303,1.877432,75.4717,92.433392
3.3387481,1.7708896,75.4717,91.6031
3.3202151,1.6793947,75.4717,91.6031
3.315509,1.5343111,75.4717,91.6031
3.3253112,1.346533,75.4717,91.6031
3.3415075,1.1636377,75.4717,91.6031
3.3656097,0.94661869,77.294153,91.193079
3.3889898,0.682724,77.5194,89.8204
3.3985171,0.49703981,77.5194,89.8204
3.3858336,0.50773618,77.5194,89.8204
3.3705556,0.7531677,77.5194,89.8204
3.3668834,1.14931009,77.5194,89.8204
3.3699946,1.6131165,77.5194,89.8204
3.3787933,2.0858618,79.447914,90.872193
3.3955996,2.5242126,81.3008,91.6031
3.423617,2.9021879,81.3008,91.6031
3.454831,3.1800631,81.3008,91.6031
3.4864136,3.3140103,81.3008,91.6031
3.5086736,3.3195676,81.3008,91.6031
3.5133286,3.2173675,81.3008,93.1298
3.5075445,2.9736635,83.770123,95.2381
3.4894901,2.6247195,85.9599,95.2381
3.4600221,2.2602665,85.9599,95.2381
3.4203765,1.920517,85.9599,95.2381
