Resp1,Resp2,HR1,HR2
4.4307360871547,-4.2528113,121.167367665973,111.732
0.87929065,-4.1873411,121.167367665973,111.732
1.3586887,-3.9489011,121.167367665973,111.732
2.0508697,-3.4484613,121.167367665973,111.732
2.7927858,-2.7610898,121.167367665973,111.524
3.4439851,-2.0154789,121.167367665973,111.524
3.8872983,-1.3736945,121.167367665973,111.524
4.0979006,-0.93107602,121.167367665973,111.524
4.1499208,-0.65375364,135.65508,111.524
4.1232938,-0.49053956,130.152,112.5236
4.0922947,-0.252804557,130.152,112.994
4.0760893,0.11613464213,132.53919,112.994
4.0634947,0.43454585,148.515,112.994
4.0522346,0.65071414,148.515,112.994
4.0542425,0.76171264,148.515,112.91768
4.0626953,0.74111022,148.515,112.782
4.0495086,0.63760078,148.515,112.782
4.019196,0.499173,148.515,112.782
3.9821903,0.32345582,148.515,112.782
3.9281737,0.16697696,146.257353,112.782
3.8464236,0.086932365,73.2601,111.3463
3.7657227,0.089389031,73.2601,111.317
3.7018983,0.097964458,73.2601,111.317
3.6140076,0.06680603,73.2601,111.317
3.5086271,0.01736450289,73.2601,111.317
3.3984283,-0.0308532695,123.915905,110.34404
3.2945008,-0.077590937,126.582,109.29
3.1797391,-0.117394977,126.582,109.29
3.0713378,-0.15851137,126.582,109.29
2.9749239,-0.20208436,126.582,109.29
2.9050049,-0.24637146,121.39206,109.29
2.8759926,-0.28527216,101.868,105.72
3.0346497,-0.31603096,101.868,104.53
3.5145781,-0.34830926,101.868,104.53
4.1595092,-0.51441958,101.868,104.53
4.6745852,-0.88421614,101.868,104.53
4.997354,-1.4760593,108.69392,124.43176
5.1673827,-2.2090299,110.092,125.261
5.2245202,-2.8526279,110.092,125.261
5.2091549,-3.4245208,110.092,125.261
5.1496891,-4.3182129,110.092,125.261
5.0776371,-5.3969971,112.60684,125.261
5.0223785,-6.6394993,114.504,115.451088
5.0016002,-7.6024713,114.504,90.2256
5.0097039,-8.4410766,114.504,90.2256
5.0252405,-2.07895212398875,114.504,90.2256
5.0242062,-7.7777559,114.42988,90.2256
4.9700076,-6.0403809,114.286,90.2256
4.8642121,-4.3138275,114.286,103.4919
4.7158933,-3.0578942,114.286,107.914
4.5812009,-2.5191505,114.286,107.914
4.4951507,-2.5325528,114.37392,107.914
4.4584256,-2.7990417,115.385,107.914
4.4387638,-3.3172514,115.385,110.00724
4.4345001,-4.13092,115.385,112.782
4.4541082,-4.6135038,115.385,112.782
4.4779753,-4.599106,115.385,112.782
4.491422,-4.357565,115.7677,112.782
4.4641873,-4.070874,115.83,113.43175
4.3765992,-3.809006,115.83,115.607
4.2534209,-3.6614712,115.83,115.607
4.1121709,-3.7339723,115.83,115.607
3.9896085,-3.9676724,113.5116,115.607
3.894879,-4.1398314,112.15,115.8423
3.8015599,-4.1245663,112.15,117.417
3.651733,-3.950531,112.15,117.417
3.4173127,-3.7287415,112.15,117.417
3.1890503,-3.4709104,111.8788,117.417
3.0172058,-3.201498,109.89,117.6275
2.8918825,-2.9448820000000002,109.89,119.522
2.7854459,-2.6163513,109.89,119.522
2.6686982,-2.2479245,109.89,119.522
2.5486478,-1.9848173,109.89,119.522
2.467261,-1.9131932,107.56236,119.60098
2.4168216,-1.9818449,104.348,120.24
2.3917421,-2.0093995,104.348,120.24
2.3602544,-2.0235169,104.348,120.24
2.2614534,-2.0443294,104.348,120.24
2.1154323,-2.0125671,104.348,120.3126
1.9814517,-1.9032159,102.79425,120.724
1.8700899,-1.8193204,101.523,120.724
1.7478821,-1.8428375,101.523,120.724
1.6244508,-1.9518186,101.523,120.724
1.5270629,-2.070987,101.523,120.724
1.4823031,-2.1186358,101.523,120.724
1.4739137,-1.9965329,99.95856,120.724
1.4569952,-1.7194122,96.3082,120.724
1.4188815,-1.3603153,96.3082,120.724
1.3567413,-0.98189672,96.3082,120.59368
1.2608128,-0.62303471,96.3082,120
1.1269686,-0.2979309,96.3082,120
0.9754762,-0.02839049166,96.3082,120
0.82981569,0.163702385,95.706088,120
4.4307360871547,0.27401739,95.6938,119.83122
