Resp1,Resp2,HR1,HR2
3.62113706567479,-3.2209996,85.390602878384,100.90282889546
3.62113706567479,-4.2603305,85.390602878384,100.90282889546
3.62113706567479,-5.9048402,85.390602878384,100.90282889546
3.62113706567479,-7.6187439,85.390602878384,100.90282889546
3.62113706567479,-9.0293331,85.390602878384,100.90282889546
3.62113706567479,-2.30592380911097,85.390602878384,100.90282889546
1.8137543,-9.0571506,85.390602878384,100.90282889546
1.9865753,-7.8089536,85.390602878384,100.90282889546
2.07753,-6.3805082,85.390602878384,100.90282889546
2.1594513,-5.2319642,85.390602878384,100.90282889546
2.3926757,-4.4977904,85.390602878384,100.90282889546
2.8561161,-4.0399173,85.390602878384,119.2261
3.4205108,-3.7792299,85.390602878384,107.143
3.8748931,-3.622467,85.390602878384,107.143
4.082837,-3.5095183,85.390602878384,107.143
4.0213868,-3.4419466,85.390602878384,107.143
3.7696198,-3.4444432,105.29337,108.86992
3.4288666,-3.4885954,104.257,111.94
3.0842864,-3.5218326,104.257,111.94
2.8696411,-3.459506,104.257,111.94
2.8546607,-3.2982819,104.257,111.94
3.0494015,-3.1113798,104.257,112.45675
3.3289945,-2.9428649,104.257,115.385
3.5605497,-2.8041415,104.257,115.385
3.7543521,-2.6699368,104.257,115.385
3.9795532,-2.6202388,104.257,115.385
4.1710972,-2.6057495,104.08627,127.63716
4.2804476,-2.4743443,103.986,134.529
4.2180298,-2.0110292,103.986,134.529
3.9325622,-1.15163912,103.986,134.529
3.6815461,-0.1633728398,103.986,134.529
3.6291284,0.71360142,103.986,131.46492
3.6826475,1.3756195,103.986,116.505
3.6824491,1.8347592,103.986,116.505
3.6437869,2.1062165,103.986,116.505
3.6931672,2.2345861,103.986,116.505
3.7817353,2.2881543,105.02487,115.70342
3.7393156,2.2712469,105.635,113.422
3.6299988,2.1861882,105.635,113.422
3.5528443,2.0541014,105.635,113.422
3.4586976,1.9073394,105.635,113.422
3.3190062,1.7286652,105.635,116.94773
3.1406469,1.4885046,105.635,122.951
3.0343018,1.2380246,105.635,122.951
3.0192447,1.0590971,105.635,122.951
3.0643687,0.95708921,105.635,122.951
3.1279149,0.88406974,85.390602878384,122.71506
3.1717401,0.83700867,85.390602878384,122.449
3.2318694,0.82918402,85.390602878384,122.449
3.2792723,0.85013418,85.390602878384,122.449
3.2606844,0.86892382,85.390602878384,122.449
3.2083189,0.85830995,85.390602878384,121.48517
3.2101013,0.84670106999999994,85.390602878384,120.482
3.2793364,0.86764825,85.390602878384,120.482
3.3936492,0.89425663,85.390602878384,120.482
3.4881193,0.91088868,85.390602878384,120.482
3.4962088,0.92101129,85.390602878384,119.58362
3.4272184,0.91873769,85.390602878384,118.343
3.3322175,0.91720565,85.390602878384,118.343
3.2249022,0.91019896,85.390602878384,118.343
3.0666718,0.87423099,85.390602878384,118.343
2.8476868,0.8302215,85.390602878384,118.343
2.6003691,0.78978581,85.390602878384,108.45784
2.3131194,0.7356842,85.390602878384,103.806
2.0099606,0.64942016,85.390602878384,103.806
1.7496341,0.58560181,85.390602878384,103.806
1.5715145,0.62264402,85.390602878384,103.806
3.62113706567479,0.71521613,85.390602878384,103.806
3.62113706567479,0.77495722,85.390602878384,103.806
3.62113706567479,0.77654102,85.390602878384,97.070723
3.62113706567479,0.69101867,85.390602878384,82.0793
3.62113706567479,0.43423156,85.390602878384,82.0793
3.62113706567479,-0.0205596935,85.390602878384,82.0793
1.6490782,-0.56227112,85.390602878384,82.0793
1.9684111,-1.01380601,85.390602878384,82.0793
2.3831787,-1.2938871,85.390602878384,82.0793
2.8257783,-1.4326507,85.390602878384,82.088308
3.2085814,-1.5117795,85.390602878384,82.3045
3.4431915,-1.5791751,85.390602878384,82.3045
3.4631191,-1.6383052,85.390602878384,82.3045
3.2987639,-1.6701262,85.390602878384,82.3045
2.9679109,-1.6192626,85.390602878384,82.3045
2.5300384,-1.4400331,85.390602878384,82.3045
2.1117616,-1.1734407,85.390602878384,82.3045
1.8058441,-1.01704393,85.390602878384,82.142356
1.6207855,-1.3123812,85.390602878384,82.0793
1.5381317,-2.092648,105.34943,82.0793
3.62113706567479,-2.6677014,103.152,82.0793
3.62113706567479,-4.1015891,103.152,82.0793
1.5599278,-5.0708135,103.152,82.0793
1.6040889,-5.710333,103.152,82.0793
1.6117219,-6.6251744,103.152,85.257552
1.5783689,-7.7005647,103.152,86.2069
1.6090918,-8.4245361,103.152,86.2069
1.8100494,-8.8743074,103.152,86.2069
2.2140745,-2.30592380911097,103.152,86.2069
2.7447326,-2.30592380911097,94.832409,86.2069
3.3095398,-2.30592380911097,89.9463,86.2069
3.8304749,-2.30592380911097,89.9463,86.2069
4.2544061,-2.30592380911097,89.9463,86.2069
4.576462,-2.30592380911097,89.9463,86.2069
4.8320497,-2.30592380911097,89.9463,86.2069
5.032971,-2.30592380911097,89.9463,86.2069
5.1605043,-2.30592380911097,89.9463,86.2069
5.1890018,-8.1623351,89.9463,86.2069
5.0931639,-6.4296476,89.9463,86.2069
4.8786043,-4.7519994,88.22199,100.90282889546
4.5878417,-3.531085,87.2093,100.90282889546
4.2740757,-2.7582491,87.2093,100.90282889546
3.9645872,-2.3748442,87.2093,100.90282889546
3.6717136,-2.352664,87.2093,100.90282889546
3.4151792,-2.5546998,87.2093,100.90282889546
3.1358155,-2.9391969,87.2093,100.90282889546
2.7783296,-3.35239,87.2093,100.90282889546
2.4030086,-3.5927215,87.2093,74.6269
2.0947938,-3.6960152,87.2093,74.6269
1.8823667,-3.5861515,85.96064,74.6269
1.749652,-3.4947358,85.2273,74.6269
1.6816988,-3.9637384,85.2273,74.6269
1.6581972,-4.7008267,85.2273,108.182851
1.6482531,-5.9459506,85.2273,116.054
1.6435616,-7.4627286,85.2273,116.054
1.6475203,-8.5709661,85.2273,116.054
1.6529875,-8.6401643,85.2273,116.054
1.6534276,-7.806894,85.2273,117.81653
1.6554931,-6.5069551,85.2273,118.343
1.7080171,-5.8264463,82.208781,118.343
1.8441527,-6.4235565,80.436,118.343
2.0615626,-6.9819217,80.436,118.343
2.3614258,-6.7906524,80.436,119.60232
2.7153987,-5.9338472,80.436,120
3.0667331,-4.5470341,80.436,120
3.3722016,-2.8566384,80.436,120
3.6497833,-1.41694587,80.436,120
3.9179384,-0.431838962,80.436,121.61933
4.1879671,0.17385562447,80.436,121.951
4.4250766,0.54912719,81.189921,121.951
4.5754946,0.74098208,81.6327,121.951
4.6394745,0.79219966,81.6327,121.951
4.6412043,0.78638902,81.6327,121.72376
4.622974,0.8067047,81.6327,121.704
4.6239279,0.86765441,81.6327,121.704
4.5841706,0.88785397,81.6327,121.704
4.4913513,0.90520935,81.6327,129.03412
4.2922274,1.00814203,81.6327,137.3
4.0070338,1.168155,81.6327,137.3
3.6999481,1.3275423,85.922559,137.3
3.3772312,1.503894,88.442,100.90282889546
3.0116793,1.7343074,88.442,100.90282889546
2.6376283,1.9847687,88.442,100.90282889546
2.3136934,2.1269648,88.442,100.90282889546
2.0672725,2.180902,88.442,100.90282889546
1.8830078,2.1908238,88.442,100.90282889546
1.7550074,2.2109589,88.442,100.90282889546
1.6812834,2.301758,88.442,87.3362
1.6194976,2.4108734,88.442,87.3362
1.5427553,2.4669795,88.067591,87.3362
3.62113706567479,2.4778134,87.8477,87.3362
3.62113706567479,2.5077117,87.8477,87.3362
3.62113706567479,2.564648,87.8477,97.213544
3.62113706567479,2.6311401,87.8477,107.914
3.62113706567479,2.7100681,87.8477,107.914
3.62113706567479,2.7848145,87.8477,107.914
3.62113706567479,2.8147928,87.8477,107.914
3.62113706567479,2.8230153,87.8477,107.914
3.62113706567479,2.8416168,87.8477,106.792616
3.62113706567479,2.8545315000000002,85.296956,93.8967
1.5623875,2.8533008,83.7989,93.8967
1.7385529,2.8166168,83.7989,93.8967
2.0146268,2.7327603,83.7989,93.8967
2.3701779,2.5995758,83.7989,93.8967
2.7807615,2.3952391,83.7989,93.8967
3.2018798,2.1968293,83.7989,93.8967
3.5644193,2.0725345,83.7989,84.606057
3.7991177,2.0453888,83.7989,83.2178
3.8634946,2.0493934,83.7989,83.2178
3.7814391,2.053979,82.646504,83.2178
3.5902857,2.0508497,81.9697,83.2178
3.3337092,2.0405064,81.9697,83.2178
3.0274931,2.0178863,81.9697,83.2178
2.6662475,1.9837766,81.9697,82.510016
2.3209595,1.9478396,81.9697,77.3196
2.0522586,1.9190796,81.9697,77.3196
1.8831387,1.8933044,81.9697,77.3196
1.769473,1.8736664,81.9697,77.3196
1.6710867,1.8601559,81.9697,77.3196
1.5966308,1.8325803,81.968125,77.3196
1.5563049,1.7934384,81.9672,77.3196
1.5466114,1.7596067,81.9672,77.3196
1.5572298,1.7343992,81.9672,73.818385
1.5903593,1.6993194,81.9672,73.7101
1.6385344,1.5764805,81.9672,73.7101
1.6634498,1.3765194,81.9672,73.7101
1.6740942,1.1970153,81.9672,90.64267
1.6843008,1.1351285,81.9672,130.152
1.6871553,1.2053493,81.9672,130.152
1.6784756,1.3527709,80.727864,130.152
1.6765408,1.5096556,80,100.90282889546
1.7382475,1.5878077,80,100.90282889546
1.9101804,1.5727693,80,100.90282889546
2.2247075,1.4966983,80,100.90282889546
2.6601261,1.4202663,80,100.90282889546
3.1544892,1.3834877,80,100.90282889546
3.6471644,1.3799689,80,100.90282889546
4.0896608,1.3977661,80,100.90282889546
4.4622039,1.4346707,80,78.637
4.7741851,1.4669836,79.800605,78.637
5.0201662,1.4575504,79.6835,78.637
5.1783265,1.4004971,79.6835,78.637
5.2220342,1.32623,79.6835,78.637
5.1453064,1.2639859,79.6835,78.637
4.9658627,1.2188718,79.6835,78.637
4.7282592,1.1968379,79.6835,81.767388
4.4635035,1.1994109,79.6835,81.9672
4.172727,1.2051066,79.6835,81.9672
3.8943417,1.2090182,79.6835,81.9672
3.6488982,1.2114623,82.572806,81.9672
3.4420929,1.1917877,84.2697,81.9672
3.2722804,1.1395295,84.2697,81.9672
3.1148743,1.0792968,84.2697,84.933891
2.9428283,1.0248292,84.2697,85.2273
2.6874325,0.97028199,84.2697,85.2273
2.3703492,0.91873781,84.2697,85.2273
2.0896759,0.91609192,84.2697,85.2273
1.9001955,0.96443787,84.2697,85.2273
1.8099608,1.0382627,84.2697,85.244592
1.7624115,1.1077604,84.046932,86.9565
1.7467634,1.1392635,83.9161,86.9565
1.7540254,1.1080412,83.9161,86.9565
1.7444397,1.01216755,83.9161,86.9565
1.7226123,0.8905121,83.9161,86.9565
1.7099976,0.7779633,83.9161,86.9565
1.7077539,0.64704287,83.9161,88.939536
1.7137335,0.49926448,83.9161,91.4634
1.7207368,0.41320492,83.9161,91.4634
1.7300226,0.40134275,83.9161,91.4634
1.7196134,0.51622623,80.768746,91.4634
1.6858793,0.81538696,78.9203,91.4634
1.6722118,1.13877248,78.9203,93.452329
1.7348514,1.3706697,78.9203,97.8793
1.9324556,1.5043767,78.9203,97.8793
2.2437254,1.5288979,78.9203,97.8793
2.6143337,1.4435637,78.9203,97.8793
2.9769806,1.3315824,78.9203,97.8793
3.3028959,1.2582421,78.9203,97.851379
3.6108888,1.2249731,78.9203,95.0872
3.9075164,1.1906551,76.927799,95.0872
4.1831822,1.1211759,75.7576,95.0872
4.4302705,1.03210425,75.7576,95.0872
4.6697692,0.93355717,75.7576,95.0872
4.9200229,0.84217225,75.7576,95.0872
5.1620971,0.77107847,75.7576,94.98486
5.3640778,0.65678713,75.7576,94.9367
5.5135285,0.47549128,75.7576,94.9367
5.6135038,0.27722777,75.7576,94.9367
5.6586527,0.14725646,75.7576,94.9367
5.6512912,0.1338623,78.229531,94.9367
5.5968134,0.18253176,79.6813,94.9367
5.5020812,0.25895082,79.6813,89.738606
5.3633606,0.29144289,79.6813,89.6861
5.1847716,0.23085938,79.6813,89.6861
4.9907594,0.1032195581,79.6813,89.6861
4.7925021,-0.0261810185,79.6813,89.6861
4.5792664,-0.028314194,79.6813,89.6861
4.3611786,-0.317837506,79.6813,89.6861
4.1362512,-0.21365964,79.6813,84.616728
3.855875,0.00357970343,80.737495,83.1025
3.4935216,0.187027,81.3578,83.1025
3.0952514,0.33571168,81.3578,83.1025
2.7015135,0.40618889,81.3578,83.1025
2.2984619,0.36844482,81.3578,83.1025
1.9571261,0.31230466,81.3578,83.1025
1.7241274,0.40869134,81.3578,82.33404
1.5844755,0.624762,81.3578,79.2602
3.62113706567479,0.76644901,81.3578,79.2602
3.62113706567479,0.6652466,81.3578,79.2602
3.62113706567479,0.43314202,79.129616,79.2602
3.62113706567479,0.25172426,77.821,79.2602
3.62113706567479,0.19059146,77.821,79.2602
3.62113706567479,0.26674807,77.821,79.2602
3.62113706567479,0.35525212,77.821,81.769199
3.62113706567479,0.36828619,77.821,82.0793
3.62113706567479,0.26266484,77.821,82.0793
3.62113706567479,-0.08439327623,77.821,82.0793
3.62113706567479,-0.49616698,77.821,82.0793
3.62113706567479,-0.8567169,77.821,82.0793
3.62113706567479,-1.1366819,76.521058,82.0793
1.6396454,-1.3487608,75.7576,85.762888
2.0523714,-1.4857634,75.7576,86.0832
2.6125489,-1.531734,75.7576,86.0832
3.1825868,-1.4567995,75.7576,86.0832
3.6988189,-1.2711702,75.7576,86.0832
4.1172547,-1.07153638,75.7576,86.0832
4.4356299,-0.91100767,75.7576,86.947896
4.6578092,-0.80735776,75.7576,89.6861
4.7731455,-0.8741089,75.7576,89.6861
4.7865198,-1.18719498,79.160608,89.6861
4.6842468,-1.559265,81.1592,89.6861
4.4634035,-1.920544,81.1592,89.6861
4.1630064,-2.279193,81.1592,89.6861
3.8298551,-2.5547788,81.1592,92.623565
3.4741119,-2.6434547,81.1592,93.3126
3.1259426,-2.6218014,81.1592,93.3126
2.7981416,-2.5147794,81.1592,93.3126
2.45097,-2.3154086,81.1592,93.3126
2.131064,-2.1087825,81.1592,93.3126
1.9290776,-1.9315731,86.278895,96.07406
1.9605013,-1.7842591,89.2857,97.561
2.2803222,-1.7083803,89.2857,97.561
2.7700408,-1.7258697,89.2857,97.561
3.269376,-1.7487456,89.2857,97.561
3.6733182,-1.7433692,89.2857,97.561
3.8942718,-1.7898164,89.2857,101.23766
3.8778226,-1.8737276,89.2857,102.215
3.6656495,-1.9421481,89.2857,102.215
3.3514438,-2.0890012,89.2857,102.215
2.9589782,-2.3301511,91.421904,102.215
2.4917511,-2.5047035,92.6765,102.215
2.0717863,-2.5435213,92.6765,102.88796
1.7797333,-2.5779569,92.6765,102.916
1.6536892,-2.5451905,92.6765,102.916
1.7589938,-2.4187806,92.6765,102.916
2.0964140000000002,-2.1805051,92.6765,102.916
2.5435455,-1.7841675,92.6765,103.23104
2.9806306,-1.26871609,92.6765,104.348
3.316565,-0.64759829,92.6765,104.348
3.4735689,0.1089569368,88.835768,104.348
3.4492617,0.74966121,86.5801,104.348
3.286319,1.17803034,86.5801,104.348
3.0329798,1.4614741,86.5801,105.36385
2.6930238,1.6133,86.5801,106.195
2.3141237,1.6509189,86.5801,106.195
1.9869506,1.625958,86.5801,106.195
1.7563292,1.5866607,86.5801,106.195
1.6232548,1.5580839,86.5801,106.195
1.5653016,1.5497983,86.5801,105.865
1.5571595,1.5579219,83.267056,105.82
1.5789677,1.5674672,81.3213,105.82
1.5994871,1.5709604,81.3213,105.82
1.6174805,1.5800753,81.3213,105.82
1.693942,1.6280913,81.3213,105.62864
1.9189883,1.7345578,81.3213,104.348
2.3096949,1.8491486,81.3213,104.348
2.8121183,1.9378142,81.3213,104.348
3.3296198,1.9937132,81.3213,104.348
3.742673,2.0321987,81.3213,104.348
3.9698576,2.0624568,79.956972,104.348
3.9911133,2.084656,79.1557,96.818846
3.9318725,2.0949838,79.1557,95.6938
3.8688722,2.093402,79.1557,95.6938
3.7685183,2.0519111,79.1557,95.6938
3.6446444,1.9207978000000001,79.1557,95.6938
3.4814239,1.7053774,79.1557,95.6938
3.1848873,1.4333222,79.1557,94.517023
2.7351808,1.1609529,79.1557,90.0901
2.2649595,0.92714858,79.1557,90.0901
1.887729,0.66917118,80.786266,90.0901
1.647086,0.295983883,81.7439,90.0901
1.6051727,-0.10854800823,81.7439,90.0901
1.8978974,-0.4409943,81.7439,90.0901
2.4569248,-0.66392826,81.7439,89.139436
3.0329869,-0.78599854,81.7439,87.2093
3.4847752,-0.83467414,81.7439,87.2093
3.8610718,-0.84106159,81.7439,87.2093
4.1414611,-0.83053287,81.7439,87.2093
4.2966459,-0.81982714,81.7439,87.2093
4.291037,-0.81120612,82.920992,87.2093
4.2106386,-0.80207214,83.6123,87.326278
4.0909271,-0.79186402,83.6123,87.4636
3.9274076,-0.77919619,83.6123,87.4636
3.8084353,-0.77272016,83.6123,87.4636
3.7681847,-0.76507876,83.6123,87.4636
3.7434424,-0.74433901,83.6123,87.4636
3.7541716,-0.69735115,83.6123,87.4636
3.7624716,-0.633908,83.6123,89.431806
3.7302004,-0.63054191,83.6123,89.955
3.7098401,-0.69529422,85.325018,89.955
3.7417026,-0.77740475,86.3309,89.955
3.8080536,-0.88074951,86.3309,89.955
3.871054,-0.90182192,86.3309,89.955
3.9250335,-0.81880488,86.3309,91.631449
3.95462,-0.78653266,86.3309,94.0439
3.9615149,-0.80512699,86.3309,94.0439
3.9576745,-0.86231074,86.3309,94.0439
3.9700076,-0.94824522,86.3309,94.0439
4.018005,-0.95339663,86.3309,94.0439
4.0878449,-0.85113219,90.330896,94.187204
4.1413632,-0.68119811,92.6801,95.2381
4.1673946,-0.57534784,92.6801,95.2381
4.1787328,-0.6505432,92.6801,95.2381
4.1766555,-0.92169498,92.6801,95.2381
4.1767802,-1.221048,92.6801,95.2381
4.1796443,-1.3989838000000001,92.6801,95.2381
4.1816545,-1.4264342,92.6801,97.645446
4.1720248,-1.3374117,92.6801,97.7199
4.1454625,-1.2310182,92.6801,97.7199
4.1036219,-1.2524568,95.357852,97.7199
4.0659033000000004,-1.4166228,96.9305,97.7199
4.0462573,-1.5747895,96.9305,97.7199
4.0465529,-1.5743133,96.9305,99.609363
4.0319702,-1.4017153,96.9305,99.6678
4.0041683,-1.13379546,96.9305,99.6678
3.9825255,-0.87619021,96.9305,99.6678
3.9601346,-0.67528994,96.9305,99.6678
3.9093477,-0.52599183,96.9305,99.95742
3.8092376,-0.38575443,96.9305,102.564
3.743369,-0.1574187857,98.712455,102.564
3.7956387,0.14170841867,99.759,102.564
3.9910155,0.0044280716,99.759,137.61616
4.2895751,-1.05242952,99.759,100.90282889546
4.5898988,-2.7875577,99.759,100.90282889546
4.7735777,-4.3537019,99.759,100.90282889546
4.8125267,-5.2807195,99.759,100.90282889546
4.7663489,-6.2937806,99.759,100.90282889546
4.6932311,-7.2109678,99.759,100.90282889546
4.615771,-7.7907929,99.759,100.90282889546
4.5036009,-8.2524114,101.19981,113.93852
4.3254242,-8.1258786,102.046,75
4.1091462,-7.9507782,102.046,75
3.9237911,-8.1735652,102.046,75
3.8109984,-8.556427,102.046,75
3.7589477,-8.9117586,102.046,80.35515
3.6974669,-8.6687106,102.046,110.701
3.539822,-8.5424256,102.046,110.701
3.2702364,-8.6873052,102.046,110.701
2.9520967,-8.9685518,102.046,110.701
2.6410248,-2.30592380911097,101.17975,110.701
2.3951231,-2.30592380911097,100.671,113.2251
2.2558839,-2.30592380911097,100.671,113.636
2.2170381,-2.30592380911097,100.671,113.636
2.2253041,-2.30592380911097,100.671,113.636
2.2273066,-8.8343745,100.671,113.636
2.2607724,-8.863507,100.671,115.51253
2.4139068,-9.0170529,100.671,116.279
2.6914185,-2.30592380911097,100.671,116.279
3.073978,-2.30592380911097,100.671,116.279
3.4983888,-2.30592380911097,93.429213,116.279
3.8853908,-2.30592380911097,89.1761,117.6206
4.1678959,-2.30592380911097,89.1761,118.343
4.2821261,-2.30592380911097,89.1761,118.343
4.2241878,-8.2095278,89.1761,118.343
4.0522637,-6.4930815,89.1761,118.343
3.8089479,-4.7422182,89.1761,120.0755
3.5305449,-3.6377416,89.1761,120.968
3.2462462,-3.582434,89.1761,120.968
2.9653502,-4.3013618,89.1761,120.968
2.7064611,-5.5003358,85.349732,120.968
2.498273,-6.7866944,83.1025,121.52
2.3487273,-7.7504883,83.1025,121.704
2.2305941,-8.6310605,83.1025,121.704
2.1495307,-2.30592380911097,83.1025,121.704
2.0917359,-2.30592380911097,83.1025,121.704
2.0239499,-2.30592380911097,83.1025,121.704
1.9618802,-2.30592380911097,83.1025,121.704
1.9260931,-8.4568968,83.1025,121.704
1.9265994,-6.2921239,83.1025,121.704
1.9390996,-4.0642151,82.036918,121.704
1.9472495,-2.4874208,81.4111,61.4754
1.981439,-1.5846983,81.4111,61.4754
2.0419495,-1.13044753,81.4111,61.4754
2.1676726,-0.90504151,81.4111,61.4754
2.3874879,-0.81805729,81.4111,125.080264
2.7017578,-0.80597843,81.4111,100.90282889546
3.1077457,-0.64187014,81.4111,100.90282889546
3.534082,-0.266552745,81.4111,100.90282889546
3.8998259,0.1170837407,81.4111,100.90282889546
4.0975803,0.40025937,80.79244,137.71735
4.1140657,0.50628347,80.4291,101.523
4.0401614,0.49478765,80.4291,101.523
3.9202026,0.62445674,80.4291,101.523
3.7684359,0.95712917,80.4291,101.523
3.584317,1.3140286,80.4291,111.1656
3.3687926,1.6159822,80.4291,122.951
3.0728056,1.7842376,80.4291,122.951
2.6893893,1.7727481,80.4291,122.951
2.3479733,1.7587367,80.4291,100.90282889546
2.1050745,1.8352998,83.681727,100.90282889546
